Target Name	Accession	Description	Occurrences
PRK15435.1	NF011964.0	NCBI Protein Cluster (PRK): bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada	32
PRK13500.1	NF010025.2	NCBI Protein Cluster (PRK): HTH-type transcriptional activator RhaR	64
PRK10130.1	NF007522.0	NCBI Protein Cluster (PRK): HTH-type transcriptional regulator EutR	11
PRK15121.1	NF011701.0	NCBI Protein Cluster (PRK): MDR efflux pump AcrAB transcriptional activator RobA	37
HpaA	TIGR02297.1	JCVI: 4-hydroxyphenylacetate catabolism regulatory protein HpaA	60
PRK09685.1	NF007243.0	NCBI Protein Cluster (PRK): transcriptional regulator FeaR	77
PRK13502.1	NF010027.0	NCBI Protein Cluster (PRK): HTH-type transcriptional activator RhaR	49
PRK10296.1	NF007633.0	NCBI Protein Cluster (PRK): transcriptional regulator ChbR	52
deglyc_PfpI	NF040823.1	NCBIFAM: deglycase PfpI	9
PRK10458.1	NF007772.0	NCBI Protein Cluster (PRK): DNA cytosine methylase	174
protocat_pcaD	TIGR02427.1	JCVI: 3-oxoadipate enol-lactonase	66
menH_SHCHC	TIGR03695.1	JCVI: 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	50
pro_imino_pep_2	TIGR01250.1	JCVI: proline iminopeptidase-family hydrolase	48
ProImpepThrmp	NF045948.1	NCBIFAM: proline iminopeptidase	36
FtsH_fam	TIGR01241.2	JCVI: ATP-dependent zinc metalloprotease FtsH	32
PRK10733.1	NF008004.0	NCBI Protein Cluster (PRK): ATP-dependent zinc metalloprotease FtsH	24
PRK03992.1	NF003069.1	NCBI Protein Cluster (PRK): proteasome-activating nucleotidase	34
TIGR01242	TIGR01242.2	JCVI: proteasome-activating nucleotidase	32
CDC48	TIGR01243.1	JCVI: CDC48 family AAA ATPase	31
PrtsmActNtasePan1	NF047748.1	NCBIFAM: proteasome-activating nucleotidase Pan1	25
PrtsmActNtasePan2	NF047747.1	NCBIFAM: proteasome-activating nucleotidase Pan2	26
IteA_antiphage	NF042959.1	NCBIFAM: anti-phage ATPase IteA	39
pup_AAA	TIGR03689.1	JCVI: proteasome ATPase	28
cell_div_CdvC	NF041006.2	NCBIFAM: cell division protein CdvC	29
PRK05342.1	NF003745.1	NCBI Protein Cluster (PRK): ATP-dependent Clp protease ATP-binding subunit ClpX	18
PRK13764.1	NF010335.0	NCBI Protein Cluster (PRK): ATPase	17
T7SS_EccA	TIGR03922.1	JCVI: type VII secretion AAA-ATPase EccA	21
PRK04195.1-5	NF003229.0	NCBI Protein Cluster (PRK): replication factor C large subunit	42
clpX	TIGR00382.1	JCVI: ATP-dependent protease ATP-binding subunit ClpX	13
ruvB	TIGR00635.1	JCVI: Holliday junction DNA helicase RuvB	33
PRK00080.1	NF000868.0	NCBI Protein Cluster (PRK): Holliday junction DNA helicase RuvB	32
pneumo_PspA	NF033930.1	NCBIFAM: pneumococcal surface protein A	5
PspC_subgroup_1	NF033838.0	NCBIFAM: pneumococcal surface protein PspC, choline-binding form	1
PspC_relate_1	NF033840.1	NCBIFAM: PspC-related protein choline-binding protein 1	1
glucan_65_rpt	TIGR04035.1	JCVI: glucan-binding repeat	2
PRK02362.1	NF002654.0	NCBI Protein Cluster (PRK): ATP-dependent DNA helicase	59
PRK01172.1	NF002251.0	NCBI Protein Cluster (PRK): ATP-dependent DNA helicase	51
PRK00254.1	NF001308.0	NCBI Protein Cluster (PRK): ATP-dependent DNA helicase	57
helicase_Hel308	NF040935.1	NCBIFAM: ATP-dependent DNA helicase Hel308	56
DEXH_lig_assoc	TIGR04121.1	JCVI: ligase-associated DNA damage response DEXH box helicase	85
Opp4A	NF045467.1	NCBIFAM: oligopeptide ABC transporter substrate-binding protein	13
DppA_dipep	NF043070.1	NCBIFAM: dipeptide ABC transporter periplasmic-binding protein DppA	13
SBP_KPN_01854	TIGR04028.1	JCVI: TIGR04028 family ABC transporter substrate-binding protein	12
PRK15413.1	NF011942.0	NCBI Protein Cluster (PRK): glutathione ABC transporter substrate-binding protein GsiB	7
nickel_nikA	TIGR02294.1	JCVI: nickel ABC transporter substrate-binding protein	11
Opp5A_nikA	NF045468.1	NCBIFAM: nickel ABC transporter substrate-binding protein	11
PRK15109.1	NF011689.0	NCBI Protein Cluster (PRK): ABC transporter substrate-binding protein SapA	9
opine_bind_CntA	NF047575.1	NCBIFAM: staphylopine-dependent metal ABC transporter substrate-binding lipoprotein	10
PRK15104.1	NF011684.0	NCBI Protein Cluster (PRK): oligopeptide ABC transporter substrate-binding protein OppA	10
PRK11524.1	NF008572.0	NCBI Protein Cluster (PRK): adenine-specific DNA-methyltransferase	96
PRK13699.1	NF010253.0	NCBI Protein Cluster (PRK): DNA methyltransferase	78
CBASS_cyclase_b	NF041117.1	NCBIFAM: CBASS oligonucleotide cyclase	12
2A0602	TIGR00915.1	JCVI: efflux RND transporter permease subunit	27
PRK15127.1	NF011706.2	NCBI Protein Cluster (PRK): multidrug efflux RND transporter permease subunit AcrB	35
PRK10555.1	NF007842.1	NCBI Protein Cluster (PRK): multidrug efflux RND transporter permease AcrD	28
RND_permease_1	NF000282.2	NCBIFAM: HAE1 family multidrug efflux RND transporter permease subunit	24
PRK09577.1	NF007131.0	NCBI Protein Cluster (PRK): multidrug efflux RND transporter permease subunit	31
RND_perm_OqxB	NF000037.1	NCBIFAM: multidrug efflux RND transporter permease subunit OqxB	33
RND_permease_2	NF033617.1	NCBIFAM: multidrug efflux RND transporter permease subunit	26
PRK09579.1	NF007133.0	NCBI Protein Cluster (PRK): multidrug efflux RND transporter permease subunit	29
PRK10614.1	NF007905.0	NCBI Protein Cluster (PRK): multidrug efflux RND transporter permease subunit MdtC	27
PRK10503.1	NF007798.0	NCBI Protein Cluster (PRK): MdtB/MuxB family multidrug efflux RND transporter permease subunit	27
2A0601	TIGR00914.1	JCVI: CusA/CzcA family heavy metal efflux RND transporter	28
2A0604s01	TIGR00916.1	JCVI: SecD/SecF family protein translocase subunit	29
transloc_SecF	TIGR00966.2	JCVI: protein translocase subunit SecF	20
PRK13024.1-5	NF009585.0	NCBI Protein Cluster (PRK): protein translocase subunit SecDF	19
PRK13024.1-3	NF009583.0	NCBI Protein Cluster (PRK): protein translocase subunit SecDF	21
2A067	TIGR00921.1	JCVI: hydrophobe/amphiphile efflux-3 (HAE3) family transporter	34
PRK13024.1-2	NF009582.0	NCBI Protein Cluster (PRK): protein translocase subunit SecDF	15
dprA	TIGR00732.1	JCVI: DNA-processing protein DprA	10
PRK13289.1	NF009805.0	NCBI Protein Cluster (PRK): NO-inducible flavohemoprotein	14
BenC	NF040810.1	NCBIFAM: benzoate 1,2-dioxygenase electron transfer component BenC	20
PRK00054.1-1	NF000796.0	NCBI Protein Cluster (PRK): dihydroorotate dehydrogenase electron transfer subunit	12
PRK08345.1	NF006220.0	NCBI Protein Cluster (PRK): cytochrome-c3 hydrogenase subunit gamma	14
MethMoxFADbindMmoC	NF045803.1	NCBIFAM: aromatic/alkene monooxygenase hydroxylase FAD-binding subunit MmoC	19
PRK06222.1	NF004862.0	NCBI Protein Cluster (PRK): sulfide/dihydroorotate dehydrogenase-like FAD/NAD-binding protein	4
PA_CoA_Oxy5	TIGR02160.1	JCVI: 1,2-phenylacetyl-CoA epoxidase subunit PaaE	16
PRK11872.1	NF008822.0	NCBI Protein Cluster (PRK): anthranilate 1,2-dioxygenase electron transfer component AntC	18
PRK10684.1	NF007964.0	NCBI Protein Cluster (PRK): NADH oxidoreductase	13
sulfhyd_ShyC	NF040830.1	NCBIFAM: NAD(P)-dependent hydrogenase/sulfhydrogenase 2 subunit gamma	12
PRK12778.1	NF009414.0	NCBI Protein Cluster (PRK): bifunctional dihydroorotate dehydrogenase B NAD binding subunit/NADPH-dependent glutamate synthase	18
PRK00054.1-4	NF000799.0	NCBI Protein Cluster (PRK): dihydroorotate dehydrogenase electron transfer subunit	5
PRK12775.1	NF009413.0	NCBI Protein Cluster (PRK): putative trifunctional 2-polyprenylphenol hydroxylase/glutamate synthase subunit beta/ferritin domain-containing protein	5
sulfhyd_HydG	NF040835.1	NCBIFAM: NADPH-dependent hydrogenase/sulfhydrogenase 1 subunit gamma	10
benzo_boxA	TIGR03224.1	JCVI: benzoyl-CoA 2,3-epoxidase subunit BoxA	9
PRK12779.1	NF009415.0	NCBI Protein Cluster (PRK): putative bifunctional glutamate synthase subunit beta/2-polyprenylphenol hydroxylase	7
queuosine_QueD	TIGR03367.1	JCVI: 6-carboxytetrahydropterin synthase QueD	2
6PTHBS	TIGR00039.1	JCVI: 6-pyruvoyl tetrahydropterin synthase/6-carboxytetrahydropterin synthase family protein	2
SCCmet_CcrC	NF047347.1	NCBIFAM: cassette chromosome recombinase CcrC	107
restrict_EcoAI	NF046051.1	NCBIFAM: EcoAI/FtnUII family type I restriction enzme subunit R	105
PRK11448.1	NF008521.0	NCBI Protein Cluster (PRK): type I restriction-modification system endonuclease	111
dnd_restrict_1	TIGR04095.1	JCVI: DNA phosphorothioation system restriction enzyme	169
repair_heli_XPB	NF045503.1	NCBIFAM: DNA repair helicase XPB, bacterial type	39
PRK05298.1	NF003673.1	NCBI Protein Cluster (PRK): excinuclease ABC subunit UvrB	76
recQ_fam	TIGR00614.1	JCVI: RecQ family ATP-dependent DNA helicase	50
uvrb	TIGR00631.1	JCVI: excinuclease ABC subunit UvrB	76
porin_porB_Neis	NF040479.1	NCBIFAM: trimeric porin PorB	5
potass_kdpF	TIGR02115.1	JCVI: K(+)-transporting ATPase subunit F	1
PRK14759.1	NF011342.0	NCBI Protein Cluster (PRK): K(+)-transporting ATPase subunit F	1
prc	TIGR00225.1	JCVI: carboxy-terminal processing protease	8
chlamy_CPAF	NF033424.1	NCBIFAM: protease-like activity factor CPAF	9
Cterm_S41_CtpC	NF045590.1	NCBIFAM: carboxyl-terminal processing protease CtpC	5
Cterm_S41_CtpA	NF045588.1	NCBIFAM: carboxyl-terminal processing protease CtpA	5
Cterm_S41_CtpB	NF045589.1	NCBIFAM: carboxyl-terminal processing protease CtpB	7
Cterm_S41_CtpZ	NF045591.1	NCBIFAM: carboxyl-terminal processing protease CtpZ	5
prc_long_Delta	TIGR03900.1	JCVI: MXAN_5808 family serine peptidase	4
PRK11186.1	NF008388.0	NCBI Protein Cluster (PRK): carboxy terminal-processing peptidase	4
recomb_assoc	NF040692.1	NCBIFAM: gamma-mobile-trio protein GmtX	5
cspD	TIGR02381.1	JCVI: cold shock domain-containing protein CspD	12
PRK10354.1	NF007679.0	NCBI Protein Cluster (PRK): RNA chaperone/antiterminator CspA	13
PRK14998.1	NF011574.0	NCBI Protein Cluster (PRK): cold shock-like protein CspD	12
PRK09507.1	NF007062.0	NCBI Protein Cluster (PRK): transcription antiterminator/RNA stability regulator CspE	13
PRK09937.1	NF007405.0	NCBI Protein Cluster (PRK): cold shock-like protein CspD	13
PRK10943.1	NF008190.0	NCBI Protein Cluster (PRK): cold shock-like protein CspC	15
PRK09890.1	NF007378.0	NCBI Protein Cluster (PRK): cold shock protein CspG	12
retron_eff_Se72	NF038236.1	NCBIFAM: retron Se72 family effector protein	12
PRK15463.1	NF012007.0	NCBI Protein Cluster (PRK): cold shock-like protein CspF	7
PRK15464.1	NF012008.0	NCBI Protein Cluster (PRK): cold shock-like protein CspH	6
PRK13435.1-6	NF009974.0	NCBI Protein Cluster (PRK): response regulator	9
PRK13435.1-3	NF009972.0	NCBI Protein Cluster (PRK): response regulator	11
PRK13435.1-1	NF009970.0	NCBI Protein Cluster (PRK): response regulator	8
DVU0259_DivK	NF045717.1	NCBIFAM: DVU0259 family response regulator domain-containing protein	70
near_NosP_CTERM	NF041832.1	NCBIFAM: hybrid sensor histidine kinase/response regulator NahK C-terminal domain	100
HisKinCckACaul	NF046026.1	NCBIFAM: cell cycle histidine kinase CckA	110
PRK10161.1	NF007546.0	NCBI Protein Cluster (PRK): phosphate response regulator transcription factor PhoB	73
MarP_fam_protase	NF033740.0	NCBIFAM: MarP family serine protease	16
degP_htrA_DO	TIGR02037.1	JCVI: Do family serine endopeptidase	14
PRK10942.1	NF008189.1	NCBI Protein Cluster (PRK): serine endoprotease DegP	8
protease_degS	TIGR02038.1	JCVI: outer membrane-stress sensor serine endopeptidase DegS	9
PRK10898.1	NF008147.1	NCBI Protein Cluster (PRK): outer membrane-stress sensor serine endopeptidase DegS	8
MamE	NF040960.1	NCBIFAM: magnetosome formation protease MamE	12
HhoA_HhoB_HtrA	NF041521.1	NCBIFAM: HhoA/HhoB/HtrA family serine endopeptidase	14
PrpD_hiGCgrampos	NF042438.1	NCBIFAM: 2-methylcitrate dehydratase PrpD	2
PRK05641.1	NF004173.0	NCBI Protein Cluster (PRK): putative acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	8
PRK09282.1	NF006761.0	NCBI Protein Cluster (PRK): pyruvate carboxylase subunit B	17
PRK06549.1	NF005117.0	NCBI Protein Cluster (PRK): acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	9
PRK14040.1	NF010643.0	NCBI Protein Cluster (PRK): oxaloacetate decarboxylase subunit alpha	9
oadA	TIGR01108.1	JCVI: sodium-extruding oxaloacetate decarboxylase subunit alpha	13
PRK12999.1	NF009554.0	NCBI Protein Cluster (PRK): pyruvate carboxylase	20
PRK08225.1	NF006079.0	NCBI Protein Cluster (PRK): acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	7
pyruv_carbox	TIGR01235.1	JCVI: pyruvate carboxylase	14
urea_carbox	TIGR02712.1	JCVI: urea carboxylase	11
BCCP	TIGR00531.1	JCVI: acetyl-CoA carboxylase biotin carboxyl carrier protein	4
PRK05889.1	NF004547.1	NCBI Protein Cluster (PRK): biotin/lipoyl-binding carrier protein	7
PRK14042.1	NF010645.0	NCBI Protein Cluster (PRK): pyruvate carboxylase subunit B	6
PDHac_trf_long	TIGR01348.1	JCVI: dihydrolipoyllysine-residue acetyltransferase	12
PRK07051.1	NF005457.0	NCBI Protein Cluster (PRK): acetyl-CoA carboxylase	9
PRK11854.1	NF008814.0	NCBI Protein Cluster (PRK): pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase	14
NHLM_micro_HlyD	TIGR03794.1	JCVI: NHLP bacteriocin system secretion protein	41
RND_mfp	TIGR01730.1	JCVI: efflux RND transporter periplasmic adaptor subunit	60
PRK01202.1	NF002270.0	NCBI Protein Cluster (PRK): glycine cleavage system protein GcvH	7
DECH_helic	TIGR03817.1	JCVI: helicase/secretion neighborhood putative DEAH-box helicase	85
DpdJ	NF041067.1	NCBIFAM: protein DpdJ	59
PRK11776.1	NF008744.0	NCBI Protein Cluster (PRK): ATP-dependent RNA helicase DbpA	90
PRK09751.1	NF007284.0	NCBI Protein Cluster (PRK): ATP-dependent helicase	48
PRK11511.1	NF008564.0	NCBI Protein Cluster (PRK): MDR efflux pump AcrAB transcriptional activator MarA	43
MarA_TF	NF012198.0	NCBIFAM: MDR efflux pump AcrAB transcriptional activator MarA	41
TIGR00367	TIGR00367.1	JCVI: calcium/sodium antiporter	1
PRK10734.1	NF008005.0	NCBI Protein Cluster (PRK): calcium/sodium antiporter	1
2A1904	TIGR00927.1	JCVI: K+-dependent Na+/Ca+ exchanger	2
caca2	TIGR00846.1	JCVI: calcium/proton exchanger	2
cax	TIGR00378.1	JCVI: calcium/proton exchanger	2
caca	TIGR00845.1	JCVI: sodium/calcium exchanger 1	2
PRK12864.1	NF009506.0	NCBI Protein Cluster (PRK): YciI-like protein	2
Trm14_Arch	NF040721.1	NCBIFAM: tRNA (guanine(6)-N2)-methyltransferase	163
TIGR01177	TIGR01177.1	JCVI: TIGR01177 family methyltransferase	198
DUF1156_antiphage	NF042963.1	NCBIFAM: anti-phage-associated DUF1156 domain-containing protein	237
Trm14_Thcoccales	NF040850.1	NCBIFAM: tRNA (guanine(6)-N2)-methyltransferase	41
adh_fam_1	TIGR02817.1	JCVI: zinc-binding alcohol dehydrogenase family protein	24
DnaA_homol_Hda	TIGR03420.1	JCVI: DnaA regulatory inactivator Hda	71
PRK10189.1	NF007562.1	NCBI Protein Cluster (PRK): EmmdR/YeeO family multidrug/toxin efflux MATE transporter	11
matE	TIGR00797.1	JCVI: MATE family efflux transporter	18
MATE_SolL	NF041801.1	NCBIFAM: solanimycin export family MATE transporter SolL	17
MATE_multi_NorM	NF000263.1	NCBIFAM: multidrug efflux MATE transporter NorM	12
PRK10367.1	NF007690.0	NCBI Protein Cluster (PRK): MATE family efflux transporter DinF	5
MATE_multi_FepA	NF000217.1	NCBIFAM: multidrug efflux MATE transporter FepA	7
BPSL0067_fam	NF033857.1	NCBIFAM: BPSL0067 family protein	2
ectoine_ehuD	TIGR03003.1	JCVI: ectoine/hydroxyectoine ABC transporter permease subunit EhuD	22
PRK15107.1	NF011687.0	NCBI Protein Cluster (PRK): glutamate/aspartate ABC transporter permease GltK	21
ectoine_ehuC	TIGR03004.1	JCVI: ectoine/hydroxyectoine ABC transporter permease subunit EhuC	21
PRK09494.1	NF007028.0	NCBI Protein Cluster (PRK): glutamine ABC transporter permease GlnP	22
PRK11122.1	NF008336.0	NCBI Protein Cluster (PRK): arginine ABC transporter permease ArtM	19
PRK15100.1	NF011680.0	NCBI Protein Cluster (PRK): cystine ABC transporter permease	22
PRK11123.1	NF008337.0	NCBI Protein Cluster (PRK): arginine ABC transporter permease ArtQ	24
PRK15069.1	NF011651.0	NCBI Protein Cluster (PRK): histidine ABC transporter permease HisM	20
PRK15135.1	NF011714.0	NCBI Protein Cluster (PRK): histidine ABC transporter permease HisQ	20
HEQRo_perm_3TM	TIGR01726.1	JCVI: ABC transporter permease subunit, His/Glu/Gln/Arg/opine family, N-terminal region	22
phosphate_pstC	TIGR02138.1	JCVI: phosphate ABC transporter permease subunit PstC	19
PRK10160.1	NF007545.0	NCBI Protein Cluster (PRK): taurine ABC transporter permease TauC	9
ProtAdlyltaseSoFic	NF046030.1	NCBIFAM: protein adenylyltransferase Fic	36
CDF_efflux_DmeF	NF033827.1	NCBIFAM: CDF family Co(II)/Ni(II) efflux transporter DmeF	13
CDF	TIGR01297.1	JCVI: cation diffusion facilitator family transporter	13
PRK03557.1	NF002923.0	NCBI Protein Cluster (PRK): CDF family zinc transporter ZitB	13
CDF_MamM	NF033615.1	NCBIFAM: magnetosome biogenesis CDF transporter MamM	10
CDF_MamB	NF033616.1	NCBIFAM: magnetosome biogenesis CDF transporter MamB	9
PRK09509.1	NF007064.0	NCBI Protein Cluster (PRK): CDF family cation-efflux transporter FieF	8
PRK03333.1	NF002879.0	NCBI Protein Cluster (PRK): dephospho-CoA kinase, long form	5
PRK10527.1	NF007818.0	NCBI Protein Cluster (PRK): DUF454 family protein	2
PRK09480.1	NF007015.0	NCBI Protein Cluster (PRK): nucleoid occlusion factor SlmA	17
septum_RefZ	NF037937.1	NCBIFAM: forespore capture DNA-binding protein RefZ	49
RutR	TIGR03613.1	JCVI: pyrimidine utilization regulatory protein R	40
ScbR_bind_reg	NF041196.1	NCBIFAM: ScbR family autoregulator-binding transcription factor	64
betaine_BetI	TIGR03384.1	JCVI: choline-responsive transcriptional repressor BetI	59
transcr_KstR	NF033703.1	NCBIFAM: cholesterol catabolism transcriptional regulator KstR	29
PRK11202.1	NF008402.0	NCBI Protein Cluster (PRK): HTH-type transcriptional repressor FabR	13
mycofact_TetR	TIGR03968.1	JCVI: mycofactocin system transcriptional regulator	52
PRK00767.1	NF001978.0	NCBI Protein Cluster (PRK): transcriptional regulator BetI	51
partition_RepB	TIGR03454.1	JCVI: plasmid partitioning protein RepB	25
PRK13866.1	NF010440.0	NCBI Protein Cluster (PRK): plasmid partitioning protein RepB	12
PhdiestaseDibA	NF045675.1	NCBIFAM: phosphodiesterase DibA	80
PRK10551.1	NF007839.0	NCBI Protein Cluster (PRK): cyclic di-GMP phosphodiesterase	24
PRK11829.1	NF008807.1	NCBI Protein Cluster (PRK): biofilm formation regulator HmsP	40
PRK09776.1	NF007298.0	NCBI Protein Cluster (PRK): diguanylate cyclase	87
PRK10060.1	NF007474.0	NCBI Protein Cluster (PRK): cyclic di-GMP phosphodiesterase	56
PRK11359.1	NF008467.0	NCBI Protein Cluster (PRK): oxygen-sensing cyclic-di-GMP phosphodiesterase DosP	71
c-di-GMPRcptLapD	NF045673.1	NCBIFAM: cyclic di-GMP receptor LapD	52
toxin_Txe_YoeB	TIGR02116.1	JCVI: Txe/YoeB family addiction module toxin	4
PRK13832.1	NF010406.0	NCBI Protein Cluster (PRK): plasmid partitioning protein	43
PRK08303.1	NF006159.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	63
PRK08213.1	NF006070.0	NCBI Protein Cluster (PRK): gluconate 5-dehydrogenase	85
PRK07231.1	NF005559.1	NCBI Protein Cluster (PRK): glucose 1-dehydrogenase	90
SDR_subfam_1	TIGR03971.1	JCVI: mycofactocin-coupled SDR family oxidoreductase	93
PRK06124.1	NF004778.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	85
PRK05653.1-1	NF004197.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase FabG	86
PRK07478.1	NF005681.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	84
PRK05653.2-2	NF004202.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase FabG	87
PRK12826.1-4	NF009468.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	90
PRK08217.1	NF006072.0	NCBI Protein Cluster (PRK): 3-ketoacyl-(acyl-carrier-protein) reductase	84
PRK08278.1	NF006133.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	79
PRK05653.1-3	NF004198.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase FabG	86
PRK06523.1	NF005095.0	NCBI Protein Cluster (PRK): oxidoreductase	90
PRK07097.1	NF005488.0	NCBI Protein Cluster (PRK): gluconate 5-dehydrogenase	82
PRK12429.1	NF009093.0	NCBI Protein Cluster (PRK): 3-hydroxybutyrate dehydrogenase	85
PRK08265.1	NF006121.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	89
SDR_subfam_2	TIGR04504.1	JCVI: mycofactocin-coupled SDR family oxidoreductase	84
PRK07890.1	NF005909.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	90
SDR_subfam_4	NF040491.1	NCBIFAM: mycofactocin-coupled SDR family oxidoreductase	82
PRK08226.1	NF006080.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase UcpA	85
PRK07774.1	NF005853.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	84
PRK06181.1	NF004825.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	84
3oxo_ACP_reduc	TIGR01830.1	JCVI: 3-oxoacyl-[acyl-carrier-protein] reductase	87
PRK12823.1	NF009463.0	NCBI Protein Cluster (PRK): 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	83
PRK05866.1	NF004521.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	84
PRK06172.1	NF004818.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	82
PRK05867.1	NF004522.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
PRK06484.1	NF005067.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	87
BenD	NF040811.1	NCBIFAM: benzoate diol dehydrogenase BenD	82
PRK06113.1	NF004773.0	NCBI Protein Cluster (PRK): 7-alpha-hydroxysteroid dehydrogenase	82
PRK13394.1	NF009931.0	NCBI Protein Cluster (PRK): 3-hydroxybutyrate dehydrogenase	82
PRK07856.1	NF005893.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	88
PRK07035.1	NF005446.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
PRK07063.1	NF005469.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	84
PRK08339.1	NF006212.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	79
PRK07201.1	NF005539.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	103
PRK05872.1	NF004526.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase/reductase	83
PRK07814.1	NF005873.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	83
PRK08085.1	NF005983.0	NCBI Protein Cluster (PRK): gluconate 5-dehydrogenase	79
PRK12826.1-2	NF009466.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase FabG	88
PRK07523.1	NF005711.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	83
SDR_subfam_3	NF040490.1	NCBIFAM: mycofactocin-coupled SDR family oxidoreductase	80
PRK06180.1	NF004824.0	NCBI Protein Cluster (PRK): oxidoreductase	84
PHB_DH	TIGR01963.1	JCVI: 3-hydroxybutyrate dehydrogenase	86
PRK06138.1	NF004791.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	87
kduD	TIGR01832.1	JCVI: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD	83
PRK08264.1-5	NF006119.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	82
mycolate_SDR	NF040690.1	NCBIFAM: mycolate reductase	80
PRK06114.1	NF004774.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	82
PRK07666.1	NF005806.0	NCBI Protein Cluster (PRK): 3-ketoacyl-ACP reductase	84
EF_P_mod_YmfI	NF047420.2	NCBIFAM: elongation factor P 5-aminopentanone reductase	88
PRK06935.1	NF005390.0	NCBI Protein Cluster (PRK): 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD	83
PRK09135.1	NF006598.0	NCBI Protein Cluster (PRK): pteridine reductase	84
PRK06171.1	NF004817.0	NCBI Protein Cluster (PRK): sorbitol-6-phosphate dehydrogenase subunit	86
PRK08277.1	NF006132.0	NCBI Protein Cluster (PRK): D-mannonate oxidoreductase	90
PRK05855.1	NF004514.1	NCBI Protein Cluster (PRK): SDR family oxidoreductase	116
AcAcCoA_reduct	TIGR01829.1	JCVI: acetoacetyl-CoA reductase	86
PRK07067.1	NF005472.0	NCBI Protein Cluster (PRK): L-iditol 2-dehydrogenase	86
PRK07775.1	NF005854.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	83
PRK07454.1	NF005672.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	83
PRK06841.1	NF005309.0	NCBI Protein Cluster (PRK): GolD/DthD family dehydrogenase	88
PRK08589.1	NF006366.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	87
PRK12824.1	NF009464.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase	87
PRK06949.1	NF005402.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	83
PRK07577.1	NF005753.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	85
PRK07825.1	NF005878.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	83
PRK12746.1	NF009387.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	79
PRK06077.1	NF004746.0	NCBI Protein Cluster (PRK): 3-ketoacyl-(acyl-carrier-protein) reductase	81
PRK08177.1	NF006035.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	79
PRK12935.1	NF009546.0	NCBI Protein Cluster (PRK): acetoacetyl-CoA reductase	81
PRK05653.1-4	NF004199.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase FabG	82
PRK07109.1	NF005495.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	82
PRK12745.1	NF009386.0	NCBI Protein Cluster (PRK): 3-ketoacyl-ACP reductase	83
PRK12747.1	NF009388.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	81
PRK12743.1	NF009384.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
PRK07326.1	NF005594.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	86
