Protein1	Protein2	Percent_Identity
WP_057061105.1	WP_099770223.1	100.0
WP_099755447.1	WP_099770223.1	100.0
WP_099770223.1	WP_306220003.1	100.0
WP_099770223.1	WP_148108544.1	100.0
WP_099770223.1	WP_272401256.1	100.0
WP_099770223.1	WP_427775339.1	99.636
WP_099770223.1	WP_171251031.1	100.0
WP_099770223.1	WP_272342476.1	100.0
WP_071543116.1	WP_099770223.1	99.625
WP_099770223.1	WP_260797522.1	98.885
WP_099770223.1	WP_143243501.1	100.0
WP_099770223.1	WP_198080947.1	100.0
WP_099770223.1	WP_130111491.1	100.0
WP_050591753.1	WP_099770223.1	100.0
WP_099770223.1	WP_265091382.1	99.582
WP_099770223.1	WP_279369673.1	99.515
WP_099770223.1	WP_146242980.1	99.474
WP_099770223.1	WP_279369674.1	100.0
WP_099770223.1	WP_228139108.1	100.0
WP_099770223.1	WP_228138089.1	100.0
WP_099770223.1	WP_252322637.1	100.0
WP_187484687.1	WP_201499725.1	96.188
WP_187484687.1	WP_210459134.1	96.188
WP_381737476.1	WP_389462999.1	99.254
WP_019985949.1	WP_381737476.1	98.507
WP_419620850.1	WP_419631751.1	99.517
WP_419617794.1	WP_419620850.1	98.264
WP_419620850.1	WP_419625096.1	97.878
WP_419620850.1	WP_419644781.1	97.589
WP_419592802.1	WP_419620850.1	97.203
WP_419620850.1	WP_419628363.1	97.107
WP_419620850.1	WP_419624666.1	97.011
WP_419606917.1	WP_419620850.1	97.107
WP_419590890.1	WP_419620850.1	97.011
WP_419616092.1	WP_419620850.1	96.818
WP_294041604.1	WP_419620850.1	96.914
WP_294030746.1	WP_419620850.1	98.318
WP_295538309.1	WP_419620850.1	98.298
WP_419616970.1	WP_419620850.1	99.882
WP_305802211.1	WP_419620850.1	99.734
WP_419612356.1	WP_419620850.1	99.733
WP_419620850.1	WP_419630772.1	99.732
WP_305802840.1	WP_419620850.1	99.719
WP_305801737.1	WP_419620850.1	99.719
WP_419620850.1	WP_419636161.1	99.719
WP_305802044.1	WP_419620850.1	99.718
WP_305801916.1	WP_419620850.1	99.711
WP_419611087.1	WP_419620850.1	99.552
WP_419586017.1	WP_419620850.1	99.836
WP_419602363.1	WP_419620850.1	99.836
WP_305801415.1	WP_419620850.1	99.673
WP_419620850.1	WP_419630770.1	99.476
WP_419595086.1	WP_419620850.1	99.441
WP_305802988.1	WP_419620850.1	98.883
WP_419594736.1	WP_419620850.1	98.582
WP_293725571.1	WP_419620850.1	99.259
WP_071573398.1	WP_186478406.1	98.901
WP_124243595.1	WP_324012193.1	99.225
WP_005303068.1	WP_324012193.1	98.966
WP_187590421.1	WP_324012193.1	98.708
WP_023280428.1	WP_108998722.1	99.742
WP_108998722.1	WP_109038003.1	99.483
WP_108998722.1	WP_117059664.1	99.483
WP_108998722.1	WP_219280009.1	99.483
WP_108998722.1	WP_395537548.1	99.483
WP_108998722.1	WP_306589150.1	99.483
WP_105567945.1	WP_108998722.1	99.483
WP_108998722.1	WP_407199704.1	99.483
WP_108998722.1	WP_340580724.1	99.483
WP_071887592.1	WP_108998722.1	99.225
WP_085447662.1	WP_108998722.1	99.225
WP_007666379.1	WP_108998722.1	99.225
WP_096855503.1	WP_108998722.1	99.225
WP_108998722.1	WP_251889879.1	99.225
WP_108998722.1	WP_252055773.1	98.966
WP_108998722.1	WP_116835152.1	98.45
WP_108998722.1	WP_411194795.1	98.191
WP_108454226.1	WP_108998722.1	97.933
WP_108998722.1	WP_109242916.1	98.945
WP_108998722.1	WP_222847776.1	98.072
WP_108998722.1	WP_369783710.1	99.427
WP_108998722.1	WP_263755443.1	99.112
WP_108998722.1	WP_204363130.1	100.0
WP_108998722.1	WP_227502667.1	99.545
WP_108998722.1	WP_204098262.1	97.794
WP_139398595.1	WP_362845052.1	96.345
WP_362845052.1	WP_374810048.1	96.084
WP_224588730.1	WP_235360719.1	100.0
WP_059661051.1	WP_059771785.1	99.296
WP_059664138.1	WP_059771785.1	97.887
WP_368170788.1	WP_408842442.1	98.031
WP_005496369.1	WP_069504320.1	99.752
WP_294045927.1	WP_305801577.1	100.0
WP_305801577.1	WP_419652288.1	100.0
WP_293647654.1	WP_305801577.1	100.0
WP_294042005.1	WP_305801577.1	99.441
WP_305801577.1	WP_419592270.1	100.0
WP_293653216.1	WP_305801577.1	99.296
WP_305801577.1	WP_419630773.1	100.0
WP_305800621.1	WP_305801577.1	100.0
WP_305801577.1	WP_305802986.1	98.98
WP_305801577.1	WP_419596336.1	100.0
WP_003257466.1	WP_201203343.1	98.824
WP_201203343.1	WP_416736321.1	97.647
WP_086344528.1	WP_216995661.1	98.75
WP_257844367.1	WP_260481491.1	100.0
WP_174956897.1	WP_175795892.1	99.746
WP_077233538.1	WP_175795892.1	99.239
WP_175795892.1	WP_242895094.1	98.985
WP_143279111.1	WP_175795892.1	99.71
WP_175795892.1	WP_212271098.1	96.804
WP_134257478.1	WP_264161218.1	98.113
WP_134257478.1	WP_176042944.1	96.226
WP_134257478.1	WP_226238202.1	97.49
WP_134257478.1	WP_241302711.1	96.234
WP_118067416.1	WP_151202108.1	98.734
WP_118066944.1	WP_118067416.1	97.468
WP_141710480.1	WP_167944694.1	96.958
WP_269775176.1	WP_326350854.1	99.213
WP_326156960.1	WP_326350854.1	95.669
WP_313739295.1	WP_413047439.1	98.387
WP_293653216.1	WP_419630773.1	100.0
WP_419592270.1	WP_419630773.1	100.0
WP_294045927.1	WP_419630773.1	100.0
WP_419630773.1	WP_419652288.1	100.0
WP_293647654.1	WP_419630773.1	100.0
WP_294042005.1	WP_419630773.1	99.291
WP_305800621.1	WP_419630773.1	100.0
WP_305802986.1	WP_419630773.1	98.98
WP_419596336.1	WP_419630773.1	100.0
WP_140363007.1	WP_267430039.1	100.0
WP_006069463.1	WP_268678883.1	99.77
WP_210459138.1	WP_246874235.1	100.0
WP_023097054.1	WP_030047104.1	99.39
WP_003162365.1	WP_030047104.1	98.984
WP_227523234.1	WP_352286818.1	99.16
WP_171757879.1	WP_256951659.1	99.879
WP_132941415.1	WP_256951659.1	98.792
WP_180795982.1	WP_256951659.1	98.297
WP_256951659.1	WP_256963805.1	100.0
WP_170057486.1	WP_241693240.1	95.484
WP_109296502.1	WP_401394154.1	96.748
WP_385450184.1	WP_401394154.1	96.748
WP_397748947.1	WP_401394154.1	96.748
WP_130928363.1	WP_170057490.1	98.718
WP_025038342.1	WP_247821901.1	98.746
WP_229182684.1	WP_247821901.1	98.433
WP_074448459.1	WP_247821901.1	97.806
WP_247821901.1	WP_280711950.1	95.768
WP_028014307.1	WP_032660173.1	96.409
WP_025652136.1	WP_350587737.1	99.746
WP_201582330.1	WP_350587737.1	98.961
WP_134257474.1	WP_176042947.1	99.462
WP_128320336.1	WP_407719606.1	100.0
WP_029171412.1	WP_277291521.1	98.392
WP_105120617.1	WP_277291521.1	97.106
WP_205013732.1	WP_277291521.1	97.749
WP_079534425.1	WP_227324611.1	97.297
WP_000019081.1	WP_219349491.1	98.018
WP_000019081.1	WP_194207677.1	95.374
WP_157649296.1	WP_157654183.1	99.689
WP_200659273.1	WP_320392546.1	99.771
WP_080712487.1	WP_320392546.1	98.853
WP_186164474.1	WP_186268501.1	99.836
WP_124076888.1	WP_186268501.1	96.563
WP_046577919.1	WP_186268501.1	96.236
WP_000995333.1	WP_000995336.1	99.561
WP_000995336.1	WP_000995342.1	99.123
WP_000995336.1	WP_111811284.1	98.246
WP_000995336.1	WP_280043483.1	98.246
WP_156612849.1	WP_174010475.1	99.536
WP_042863789.1	WP_408824984.1	96.408
WP_017781381.1	WP_042863789.1	96.219
WP_000158026.1	WP_286497017.1	99.737
WP_000158026.1	WP_279272194.1	99.474
WP_000158026.1	WP_413592735.1	99.211
WP_000158026.1	WP_244588281.1	99.662
WP_000158026.1	WP_040084202.1	100.0
WP_226238202.1	WP_264161218.1	99.582
WP_226238202.1	WP_241302711.1	98.745
WP_176042944.1	WP_226238202.1	97.071
WP_146126393.1	WP_226238202.1	95.816
WP_174956903.1	WP_226238202.1	95.397
WP_143279109.1	WP_226238202.1	95.397
WP_226238202.1	WP_249215616.1	95.105
WP_314917627.1	WP_402865458.1	99.742
WP_097774690.1	WP_154276621.1	98.837
WP_029857897.1	WP_029866214.1	99.482
WP_029857897.1	WP_169628632.1	95.855
WP_388007187.1	WP_390384051.1	99.777
WP_123081236.1	WP_390384051.1	99.332
WP_355796417.1	WP_390384051.1	99.258
WP_390384051.1	WP_392941088.1	99.183
WP_390351128.1	WP_390384051.1	99.109
WP_332759170.1	WP_390384051.1	97.702
WP_359518239.1	WP_390384051.1	97.628
WP_209521980.1	WP_390384051.1	97.335
WP_390384051.1	WP_399796548.1	97.331
WP_381151541.1	WP_390384051.1	97.113
WP_328775497.1	WP_390384051.1	97.257
WP_322871266.1	WP_390384051.1	97.183
WP_191440965.1	WP_278942987.1	98.503
WP_024731432.1	WP_278942987.1	98.204
WP_195463997.1	WP_278942987.1	97.305
WP_006873050.1	WP_278942987.1	96.707
WP_278942987.1	WP_302779663.1	96.407
WP_055246197.1	WP_278942987.1	96.407
WP_181968867.1	WP_278942987.1	96.364
WP_059960004.1	WP_060228388.1	98.387
WP_059717042.1	WP_059960004.1	95.161
WP_054109477.1	WP_231471128.1	99.061
WP_005243864.1	WP_151869719.1	100.0
WP_096113014.1	WP_248671571.1	99.696
WP_169989239.1	WP_172898790.1	98.198
WP_113871776.1	WP_366205386.1	98.127
WP_113871776.1	WP_141046847.1	97.753
WP_133115897.1	WP_209641562.1	99.141
WP_133115897.1	WP_204353536.1	99.216
WP_133115897.1	WP_239496864.1	99.588
WP_003095295.1	WP_162959740.1	100.0
WP_217053341.1	WP_407257853.1	98.592
WP_053228641.1	WP_119912760.1	99.185
WP_119912760.1	WP_239209571.1	99.183
WP_375233978.1	WP_414142637.1	99.099
WP_054048971.1	WP_163909401.1	97.98
WP_021539888.1	WP_150360885.1	95.703
WP_021539888.1	WP_045616267.1	95.573
WP_021539888.1	WP_112067095.1	95.443
WP_021539888.1	WP_311095090.1	95.312
WP_021539888.1	WP_110812238.1	95.443
WP_127666262.1	WP_153403029.1	99.061
WP_127666262.1	WP_256121154.1	96.244
WP_127666262.1	WP_168322147.1	95.618
WP_127666262.1	WP_318914566.1	95.925
WP_085084286.1	WP_211103577.1	100.0
WP_004152294.1	WP_041165539.1	95.628
WP_004152294.1	WP_369068090.1	95.628
WP_004152294.1	WP_060598885.1	95.628
WP_004152294.1	WP_316944975.1	96.629
WP_116886796.1	WP_146047704.1	99.342
WP_210172026.1	WP_217751288.1	100.0
WP_175531754.1	WP_237918918.1	99.329
WP_225505034.1	WP_323243656.1	99.123
WP_033906261.1	WP_225505034.1	97.368
WP_140320685.1	WP_225505034.1	97.368
WP_303029658.1	WP_369809593.1	100.0
WP_221597106.1	WP_221601666.1	99.729
WP_020685446.1	WP_194207677.1	95.374
WP_194207677.1	WP_219349491.1	95.154
WP_000616844.1	WP_079769535.1	99.02
WP_213627868.1	WP_218394302.1	99.359
WP_217859852.1	WP_218394302.1	99.038
WP_218394302.1	WP_305435668.1	97.436
WP_218394302.1	WP_319049750.1	95.156
WP_156373837.1	WP_404946477.1	98.253
WP_057724478.1	WP_218438111.1	98.45
WP_057724478.1	WP_123449908.1	97.674
WP_016771171.1	WP_282390688.1	99.06
WP_401438469.1	WP_401481923.1	99.06
WP_311043567.1	WP_311044576.1	99.789
WP_311043567.1	WP_311044750.1	99.789
WP_000411031.1	WP_281224094.1	99.704
WP_000411029.1	WP_281224094.1	99.408
WP_216712419.1	WP_281224094.1	99.408
WP_276209936.1	WP_281224094.1	99.408
WP_094656450.1	WP_281224094.1	99.685
WP_249985410.1	WP_281224094.1	100.0
WP_010914047.1	WP_224593732.1	95.862
WP_010914047.1	WP_027033474.1	95.862
WP_010914047.1	WP_027062879.1	96.207
WP_226923653.1	WP_257592100.1	98.507
WP_226928375.1	WP_257592100.1	97.015
WP_257592100.1	WP_270575627.1	96.02
WP_094961627.1	WP_181489921.1	98.28
WP_181489921.1	WP_272571140.1	98.526
WP_110591073.1	WP_181489921.1	98.034
WP_109912100.1	WP_181489921.1	98.034
WP_181489921.1	WP_272513504.1	98.034
WP_089443351.1	WP_231127758.1	96.046
WP_089443351.1	WP_198108042.1	100.0
WP_248991899.1	WP_261762452.1	99.24
WP_203347338.1	WP_256951656.1	99.388
WP_256951656.1	WP_395215280.1	98.98
WP_005905945.1	WP_005912614.1	95.27
WP_005905945.1	WP_094241900.1	95.302
WP_239362755.1	WP_287956057.1	99.485
WP_239362755.1	WP_287957519.1	98.454
WP_049875925.1	WP_169628616.1	99.13
WP_044350590.1	WP_046888474.1	99.827
WP_046888474.1	WP_126329483.1	99.481
WP_046888474.1	WP_200083953.1	99.308
WP_046888474.1	WP_224378685.1	99.308
WP_046888474.1	WP_410674753.1	99.135
WP_352962861.1	WP_376706159.1	98.609
WP_123081229.1	WP_390351133.1	99.7
WP_073772802.1	WP_123081229.1	99.7
WP_123081229.1	WP_390384063.1	99.399
WP_123081229.1	WP_392941098.1	99.7
WP_073796679.1	WP_123081229.1	99.399
WP_123081229.1	WP_359233061.1	99.399
WP_123081229.1	WP_388007214.1	99.099
WP_123081229.1	WP_390546907.1	99.399
WP_011932089.1	WP_186472343.1	98.418
WP_008335632.1	WP_243614552.1	99.62
WP_080458309.1	WP_243614552.1	97.719
WP_243614552.1	WP_274560674.1	96.958
WP_243614552.1	WP_303965088.1	96.183
WP_079758768.1	WP_317871799.1	96.571
WP_223287878.1	WP_230804881.1	95.745
WP_191831129.1	WP_368969249.1	95.614
WP_185754785.1	WP_191831129.1	95.614
WP_130692266.1	WP_326893025.1	99.739
WP_130692266.1	WP_327208373.1	99.217
WP_000186134.1	WP_216712421.1	97.436
WP_216712421.1	WP_281263640.1	96.581
WP_008335638.1	WP_339404796.1	98.778
WP_008335638.1	WP_080458312.1	98.371
WP_008335638.1	WP_274560670.1	99.259
WP_299231672.1	WP_340322496.1	95.413
WP_149618112.1	WP_400361153.1	98.951
WP_259005120.1	WP_400361153.1	98.651
WP_135718556.1	WP_400361153.1	98.201
WP_124988806.1	WP_400361153.1	98.051
WP_197832535.1	WP_400361153.1	98.201
WP_400361153.1	WP_422703771.1	97.901
WP_148563084.1	WP_279936401.1	98.107
WP_229758061.1	WP_244218032.1	100.0
WP_211708886.1	WP_244218032.1	96.381
WP_382009591.1	WP_388315110.1	99.6
WP_003863119.1	WP_048959070.1	96.842
WP_048959070.1	WP_063146938.1	95.789
WP_061009210.1	WP_236111857.1	99.097
WP_161679974.1	WP_387401604.1	99.467
WP_260442472.1	WP_387401604.1	98.851
WP_003194410.1	WP_043205945.1	95.683
WP_034911927.1	WP_346541595.1	97.436
WP_058689626.1	WP_346541595.1	96.154
WP_228261357.1	WP_234278755.1	100.0
WP_227537174.1	WP_234278755.1	100.0
WP_228703182.1	WP_234278755.1	100.0
WP_234278755.1	WP_279915268.1	100.0
WP_195244026.1	WP_234278755.1	100.0
WP_227853124.1	WP_234278755.1	100.0
WP_032425173.1	WP_234278755.1	100.0
WP_201991210.1	WP_234278755.1	100.0
WP_204363129.1	WP_234278755.1	100.0
WP_117039136.1	WP_234278755.1	99.833
WP_234278755.1	WP_241506328.1	99.833
WP_223332460.1	WP_234278755.1	99.833
WP_234278755.1	WP_374875291.1	99.833
WP_181586356.1	WP_234278755.1	99.833
WP_234278755.1	WP_416263238.1	99.833
WP_234278755.1	WP_238762060.1	99.833
WP_234278755.1	WP_255089151.1	99.833
WP_234278755.1	WP_342139705.1	99.833
WP_219280016.1	WP_234278755.1	99.666
WP_135726248.1	WP_234278755.1	99.667
WP_023280425.1	WP_234278755.1	100.0
WP_234278755.1	WP_306589151.1	99.831
WP_228356153.1	WP_234278755.1	100.0
WP_234278755.1	WP_258960139.1	100.0
WP_234278755.1	WP_253264372.1	98.039
WP_142381959.1	WP_234278755.1	98.507
WP_123594961.1	WP_371042435.1	99.728
WP_368967055.1	WP_371042435.1	99.183
WP_212622970.1	WP_371042435.1	99.183
WP_077571145.1	WP_371042435.1	98.638
WP_003180290.1	WP_139353567.1	97.407
WP_377947705.1	WP_377973597.1	99.808
WP_238989076.1	WP_377947705.1	99.419
WP_264881900.1	WP_348568741.1	99.113
WP_259386866.1	WP_348568741.1	97.849
WP_198886715.1	WP_348568741.1	97.67
WP_136484642.1	WP_348568741.1	96.057
WP_348568741.1	WP_395278109.1	96.237
WP_028015006.1	WP_348568741.1	96.057
WP_323307445.1	WP_348568741.1	96.057
WP_348568741.1	WP_420299080.1	95.699
WP_068950533.1	WP_119921894.1	97.429
WP_029424192.1	WP_375586730.1	97.354
WP_086379546.1	WP_375586730.1	96.825
WP_043960434.1	WP_375586730.1	96.296
WP_280039404.1	WP_375586730.1	95.767
WP_111849668.1	WP_375586730.1	95.767
WP_284072655.1	WP_375586730.1	96.296
WP_279979463.1	WP_375586730.1	95.767
WP_098732784.1	WP_375586730.1	95.767
WP_212798098.1	WP_375586730.1	95.327
WP_031946686.1	WP_375586730.1	95.588
WP_031946289.1	WP_375586730.1	95.385
WP_000280760.1	WP_301005472.1	98.936
WP_000280760.1	WP_225510875.1	98.936
WP_000280760.1	WP_000280761.1	98.936
WP_000280760.1	WP_195201760.1	98.936
WP_235685300.1	WP_328700776.1	96.078
WP_000411031.1	WP_276209936.1	99.704
WP_216712419.1	WP_276209936.1	99.408
WP_000411029.1	WP_276209936.1	99.408
WP_094656450.1	WP_276209936.1	99.685
WP_249985410.1	WP_276209936.1	99.522
WP_352483755.1	WP_352981176.1	98.204
WP_012075810.1	WP_033986788.1	99.313
WP_023435647.1	WP_033986788.1	98.625
WP_140320689.1	WP_337169189.1	100.0
WP_140320689.1	WP_323243654.1	97.973
WP_140320689.1	WP_225505036.1	97.297
WP_140320689.1	WP_406995179.1	96.622
WP_122681759.1	WP_154845629.1	99.5
WP_122390084.1	WP_154845629.1	98.0
WP_023227810.1	WP_220771602.1	95.588
WP_122419332.1	WP_122491291.1	99.814
WP_003454977.1	WP_316440915.1	100.0
WP_121349580.1	WP_316440915.1	100.0
WP_352824614.1	WP_352902661.1	99.051
WP_023755124.1	WP_352824614.1	97.785
WP_078231038.1	WP_249122551.1	99.813
WP_137008834.1	WP_249122551.1	99.625
WP_094371117.1	WP_205548837.1	100.0
WP_071543116.1	WP_279369673.1	99.595
WP_260797522.1	WP_279369673.1	99.595
WP_198064314.1	WP_279369673.1	99.595
WP_002108265.1	WP_279369673.1	99.595
WP_086379547.1	WP_279369673.1	99.19
WP_279369673.1	WP_348916518.1	97.976
WP_099745566.1	WP_279369673.1	99.587
WP_279369673.1	WP_279980815.1	95.547
WP_023896948.1	WP_279369673.1	95.547
WP_279369673.1	WP_420198657.1	95.142
WP_148792969.1	WP_279369673.1	97.863
WP_068920957.1	WP_279369673.1	99.558
WP_198131398.1	WP_279369673.1	99.548
WP_078208045.1	WP_279369673.1	99.512
WP_057690140.1	WP_279369673.1	99.487
WP_198073723.1	WP_279369673.1	99.482
WP_057692513.1	WP_279369673.1	99.422
WP_133447470.1	WP_279369673.1	99.422
WP_057066348.1	WP_279369673.1	99.422
WP_057691087.1	WP_279369673.1	99.408
WP_057091188.1	WP_279369673.1	99.405
WP_277556746.1	WP_279369673.1	99.398
WP_146242980.1	WP_279369673.1	99.371
WP_057694244.1	WP_279369673.1	99.359
WP_099769520.1	WP_279369673.1	99.355
WP_272396957.1	WP_279369673.1	98.701
WP_057061105.1	WP_279369673.1	99.333
WP_279369673.1	WP_427775339.1	99.329
WP_099755447.1	WP_279369673.1	99.32
WP_279369673.1	WP_306220003.1	99.281
WP_148108544.1	WP_279369673.1	99.275
WP_272401256.1	WP_279369673.1	99.237
WP_171251031.1	WP_279369673.1	99.18
WP_272342476.1	WP_279369673.1	99.174
WP_143243501.1	WP_279369673.1	99.145
WP_198080947.1	WP_279369673.1	99.123
WP_130111491.1	WP_279369673.1	99.115
WP_050591753.1	WP_279369673.1	98.969
WP_265091382.1	WP_279369673.1	98.958
WP_011413131.1	WP_209197002.1	97.63
WP_290882341.1	WP_369883202.1	99.794
WP_162222046.1	WP_369883202.1	99.588
WP_160209859.1	WP_369883202.1	99.383
WP_006873052.1	WP_369883202.1	97.325
WP_278942988.1	WP_369883202.1	97.325
WP_087216739.1	WP_369883202.1	97.119
WP_191440966.1	WP_369883202.1	97.119
WP_283118386.1	WP_369883202.1	97.119
WP_087302592.1	WP_369883202.1	96.914
WP_352689462.1	WP_352962857.1	96.384
WP_017897252.1	WP_280039410.1	97.638
WP_001171041.1	WP_280039410.1	97.638
WP_023896950.1	WP_280039410.1	98.425
WP_002009255.1	WP_280039410.1	97.638
WP_061875045.1	WP_280039410.1	97.638
WP_002156372.1	WP_280039410.1	96.85
WP_001171042.1	WP_280039410.1	96.85
WP_004747622.1	WP_280039410.1	96.063
WP_280039410.1	WP_420198658.1	95.276
WP_133447470.1	WP_277556746.1	100.0
WP_057692513.1	WP_277556746.1	100.0
WP_057691087.1	WP_277556746.1	100.0
WP_148792969.1	WP_277556746.1	100.0
WP_057066348.1	WP_277556746.1	100.0
WP_057091188.1	WP_277556746.1	100.0
WP_099745566.1	WP_277556746.1	100.0
WP_078208045.1	WP_277556746.1	100.0
WP_057690140.1	WP_277556746.1	100.0
WP_198131398.1	WP_277556746.1	100.0
WP_068920957.1	WP_277556746.1	100.0
WP_002108265.1	WP_277556746.1	100.0
WP_198073723.1	WP_277556746.1	99.676
WP_086379547.1	WP_277556746.1	99.676
WP_198064314.1	WP_277556746.1	99.676
WP_277556746.1	WP_348916518.1	98.058
WP_057694244.1	WP_277556746.1	100.0
WP_099769520.1	WP_277556746.1	100.0
WP_272396957.1	WP_277556746.1	99.327
WP_057061105.1	WP_277556746.1	100.0
WP_099755447.1	WP_277556746.1	100.0
WP_277556746.1	WP_306220003.1	100.0
WP_148108544.1	WP_277556746.1	100.0
WP_272401256.1	WP_277556746.1	100.0
WP_277556746.1	WP_427775339.1	99.636
WP_171251031.1	WP_277556746.1	100.0
WP_272342476.1	WP_277556746.1	100.0
WP_143243501.1	WP_277556746.1	100.0
WP_198080947.1	WP_277556746.1	100.0
WP_130111491.1	WP_277556746.1	100.0
WP_050591753.1	WP_277556746.1	100.0
WP_265091382.1	WP_277556746.1	99.582
WP_071543116.1	WP_277556746.1	99.559
WP_260797522.1	WP_277556746.1	98.69
WP_146242980.1	WP_277556746.1	99.474
WP_277556746.1	WP_279369674.1	100.0
WP_228139108.1	WP_277556746.1	100.0
WP_228138089.1	WP_277556746.1	100.0
WP_252322637.1	WP_277556746.1	100.0
WP_260797521.1	WP_277556746.1	100.0
WP_375517880.1	WP_375532565.1	100.0
WP_039323768.1	WP_116238173.1	98.305
WP_172481283.1	WP_201282763.1	100.0
WP_172481283.1	WP_174561797.1	100.0
WP_172481283.1	WP_210531048.1	100.0
WP_172481283.1	WP_210472969.1	100.0
WP_172481283.1	WP_196317507.1	100.0
WP_172481283.1	WP_308378298.1	99.355
WP_172481283.1	WP_224267728.1	100.0
WP_172481283.1	WP_348636537.1	100.0
WP_172481283.1	WP_410028803.1	100.0
WP_172481283.1	WP_355493117.1	100.0
WP_172481283.1	WP_319839101.1	100.0
WP_172481283.1	WP_222859269.1	100.0
WP_157845837.1	WP_172481283.1	100.0
WP_172481283.1	WP_223369473.1	100.0
WP_172481283.1	WP_177332180.1	100.0
WP_172481283.1	WP_407205213.1	100.0
WP_013213998.1	WP_172481283.1	100.0
WP_014343474.1	WP_172481283.1	100.0
WP_074160419.1	WP_172481283.1	100.0
WP_172481283.1	WP_330190108.1	100.0
WP_172481283.1	WP_336196029.1	98.71
WP_172481283.1	WP_214593189.1	98.065
WP_172481283.1	WP_193055528.1	96.129
WP_172481283.1	WP_181216577.1	96.774
WP_172481283.1	WP_226659826.1	100.0
WP_172481283.1	WP_264928071.1	100.0
WP_172481283.1	WP_172488753.1	100.0
WP_172481283.1	WP_180354942.1	100.0
WP_172481283.1	WP_183129369.1	100.0
WP_172481283.1	WP_172881786.1	100.0
WP_172481283.1	WP_238142485.1	100.0
WP_172481283.1	WP_218452272.1	100.0
WP_008335632.1	WP_080458309.1	98.099
WP_008335632.1	WP_274560674.1	97.338
WP_008335632.1	WP_303965088.1	96.565
WP_021499432.1	WP_152918628.1	99.754
WP_096933251.1	WP_152918628.1	99.507
WP_152918628.1	WP_306139793.1	99.507
WP_072034657.1	WP_152918628.1	99.507
WP_108454226.1	WP_411194795.1	99.742
WP_116835152.1	WP_411194795.1	99.225
WP_071887592.1	WP_411194795.1	98.966
WP_252055773.1	WP_411194795.1	98.708
WP_105567945.1	WP_411194795.1	98.708
WP_085447662.1	WP_411194795.1	98.45
WP_023280428.1	WP_411194795.1	98.45
WP_007666379.1	WP_411194795.1	98.45
WP_117059664.1	WP_411194795.1	98.191
WP_096855503.1	WP_411194795.1	98.45
WP_251889879.1	WP_411194795.1	98.45
WP_219280009.1	WP_411194795.1	98.191
WP_109038003.1	WP_411194795.1	98.191
WP_395537548.1	WP_411194795.1	98.191
WP_306589150.1	WP_411194795.1	98.191
WP_407199704.1	WP_411194795.1	98.191
WP_340580724.1	WP_411194795.1	98.191
WP_109242916.1	WP_411194795.1	97.889
WP_222847776.1	WP_411194795.1	96.97
WP_369783710.1	WP_411194795.1	98.281
WP_263755443.1	WP_411194795.1	97.929
WP_204363130.1	WP_411194795.1	98.397
WP_227502667.1	WP_411194795.1	98.182
WP_204098262.1	WP_411194795.1	97.794
WP_008335635.1	WP_274560673.1	99.259
WP_027246249.1	WP_274560673.1	99.259
WP_085986942.1	WP_274560673.1	99.259
WP_274560673.1	WP_369077077.1	98.272
WP_254892466.1	WP_274560673.1	97.531
WP_007252319.1	WP_057414680.1	99.754
WP_226923653.1	WP_226928375.1	97.512
WP_226923653.1	WP_270575627.1	96.517
WP_093209961.1	WP_093352836.1	98.279
WP_093209961.1	WP_133156753.1	98.122
WP_082138112.1	WP_093209961.1	96.557
WP_406746822.1	WP_406771361.1	100.0
WP_406771361.1	WP_406772639.1	99.593
WP_406743002.1	WP_406771361.1	100.0
WP_134240912.1	WP_208217652.1	96.178
WP_320740718.1	WP_346589520.1	100.0
WP_154902331.1	WP_320740718.1	99.203
WP_216502337.1	WP_320740718.1	99.203
WP_207307640.1	WP_320740718.1	99.203
WP_320740718.1	WP_323101448.1	98.805
WP_038982930.1	WP_320740718.1	99.004
WP_320740718.1	WP_421080084.1	99.004
WP_159235868.1	WP_320740718.1	99.004
WP_214599071.1	WP_320740718.1	98.805
WP_241174695.1	WP_320740718.1	98.606
WP_198360711.1	WP_320740718.1	99.083
WP_112740216.1	WP_342636338.1	99.288
WP_184501959.1	WP_342636338.1	100.0
WP_269434942.1	WP_331459536.1	98.077
WP_388315101.1	WP_406729679.1	96.581
WP_388315101.1	WP_397748948.1	96.296
WP_262508683.1	WP_388315101.1	95.726
WP_388315101.1	WP_401394407.1	95.726
WP_388315101.1	WP_389143592.1	95.726
WP_362078781.1	WP_388315101.1	95.157
WP_048225462.1	WP_063855377.1	95.848
WP_048225462.1	WP_316466473.1	95.502
WP_050772053.1	WP_274560675.1	97.704
WP_083545813.1	WP_274560675.1	96.939
WP_080458308.1	WP_274560675.1	96.429
WP_168246329.1	WP_274560675.1	95.918
WP_274560675.1	WP_339404793.1	95.918
WP_175480280.1	WP_274560675.1	97.333
WP_088672642.1	WP_274560675.1	97.05
WP_122390076.1	WP_169839380.1	99.083
WP_122390076.1	WP_201018180.1	97.248
WP_103289712.1	WP_122390076.1	96.33
WP_003218108.1	WP_177009288.1	99.576
WP_109242568.1	WP_256423361.1	99.796
WP_047688915.1	WP_109242568.1	99.796
WP_109242568.1	WP_186478404.1	98.364
WP_109242568.1	WP_263939875.1	95.91
WP_109242568.1	WP_241342593.1	99.738
