Most Frequent Protein ID	Frequency	Description
WP_425597752.1	2	TIGR02757 family protein
WP_260305932.1	2	GTP cyclohydrolase II
WP_260305933.1	2	DUF4231 domain-containing protein
WP_262267342.1	2	DUF3775 domain-containing protein
WP_331079664.1	2	M81 family metallopeptidase
WP_371589022.1	2	tyrosinase family protein
Unknown	2	Cmx/CmrA family chloramphenicol efflux MFS transporter
WP_074204973.1	2	single-stranded-DNA-specific exonuclease RecJ
WP_074204457.1	2	flavodoxin family protein
WP_275681714.1	2	SMODS domain-containing nucleotidyltransferase
WP_275681715.1	2	S-4TM family putative pore-forming effector
WP_034155059.1	2	flavin monoamine oxidase family protein
WP_046810306.1	2	MrcB family domain-containing protein
WP_024359484.1	2	GPW/gp25 family protein
WP_130707741.1	2	glycoside hydrolase family 15 protein
WP_130707749.1	2	metal-binding protein
WP_157220418.1	2	DNA ligase D
WP_081543010.1	2	DUF1484 domain-containing protein
WP_054613395.1	2	DNA polymerase thumb domain-containing protein
WP_185511228.1	2	T6SS immunity protein Tdi1 domain-containing protein
WP_185511230.1	2	glycoside hydrolase family 2 protein
WP_081028176.1	2	P-type DNA transfer protein VirB5
WP_336126008.1	2	alcohol dehydrogenase catalytic domain-containing protein
WP_172559945.1	2	anthranilate synthase component 1
WP_075988675.1	2	Trp operon leader peptide
WP_020327673.1	2	23S rRNA pseudouridine(2605) synthase RluB
WP_315621746.1	2	cysteine/glutathione ABC transporter ATP-binding protein/permease CydC
WP_315621745.1	2	cysteine/glutathione ABC transporter permease/ATP-binding protein CydD
WP_024374765.1	2	thioredoxin-disulfide reductase
WP_259087269.1	2	UPF0758 domain-containing protein
WP_369368949.1	2	BTAD domain-containing putative transcriptional regulator
WP_004770392.1	2	ArgP/LysG family DNA-binding transcriptional regulator
WP_408824978.1	2	ABC transporter ATPase
WP_138655822.1	2	long-chain fatty acid--CoA ligase
WP_138655824.1	2	intradiol ring-cleavage dioxygenase
WP_183462268.1	2	DUF899 family protein
WP_280197890.1	2	YqaA family protein
WP_193617501.1	2	DUF3872 domain-containing protein
Unknown	2	DUF4138 domain-containing protein
WP_060263267.1	2	Imm71 family immunity protein
WP_050573714.1	2	cell wall hydrolase
WP_198958578.1	2	FMN-dependent NADH-azoreductase
WP_056320577.1	2	citryl-CoA lyase
WP_056320585.1	2	MaoC/PaaZ C-terminal domain-containing protein
WP_199708123.1	2	FtsW/RodA/SpoVE family cell cycle protein
WP_199708120.1	2	FHA domain-containing protein FhaB/FipA
WP_395125324.1	2	FhaA domain-containing protein
WP_091338238.1	2	chemotaxis protein CheX
WP_091338240.1	2	alanine racemase
WP_094991488.1	2	AcaB family transcriptional regulator
WP_094991489.1	2	type I DNA topoisomerase
WP_055475006.1	2	exonuclease SbcCD subunit D
WP_055475008.1	2	glutathione S-transferase C-terminal domain-containing protein
WP_336570199.1	2	SCO6880 family protein
WP_336570201.1	2	DUF6112 family protein
WP_336570208.1	2	DUF6545 domain-containing protein
WP_319479122.1	2	heavy metal-binding domain-containing protein
WP_048227236.1	2	helicase HerA-like C-terminal domain-containing protein
WP_161077656.1	2	ClpXP protease specificity-enhancing factor
WP_379981784.1	2	CotH kinase family protein
WP_369358217.1	2	molybdopterin oxidoreductase family protein
WP_160946073.1	2	choice-of-anchor X domain-containing protein
WP_186596033.1	2	glycosyltransferase family 39 protein
WP_225554472.1	2	phage Gp37/Gp68 family protein
WP_117706981.1	2	class I fructose-bisphosphate aldolase
WP_182424503.1	2	hybrid sensor histidine kinase/response regulator transcription factor
WP_423244736.1	2	rolling circle replication-associated protein
Unknown	2	FCD domain-containing protein
WP_113959645.1	2	Fe-S cluster assembly protein SufB
Unknown	2	rubrerythrin
WP_306139446.1	2	metalloprotease PmbA
WP_038443659.1	2	ADP-ribosylglycohydrolase family protein
WP_354446096.1	2	GreA/GreB family elongation factor
WP_265054814.1	2	DSD1 family PLP-dependent enzyme
WP_047991971.1	2	amino acid ABC transporter substrate-binding protein
WP_088446812.1	2	uracil-xanthine permease family protein
WP_175327429.1	2	ATP-dependent Clp protease proteolytic subunit
WP_242090853.1	2	copper resistance protein CopC
WP_242090855.1	2	YcnI family protein
WP_249390492.1	2	DNA-3-methyladenine glycosylase
WP_087422596.1	2	lysine exporter LysO family protein
WP_087422597.1	2	LysO family transporter
WP_025217665.1	2	molybdopterin-synthase adenylyltransferase MoeB
WP_176671533.1	2	TIGR01620 family protein
WP_176671534.1	2	tRNA dihydrouridine(16) synthase DusC
WP_104282831.1	2	class C sortase
WP_008615548.1	2	chromate efflux transporter
WP_223080792.1	2	anti-phage-associated helicase HerA
Unknown	2	IS3-like element ISAs20 family transposase
WP_085399144.1	2	flagellar hook capping FlgD N-terminal domain-containing protein
WP_214544139.1	2	DUF6611 family protein
WP_195658692.1	2	nucleoside phosphorylase
WP_158616070.1	2	DUF4755 domain-containing protein
WP_101726616.1	2	GyrI-like domain-containing protein
WP_229236265.1	2	DNA alkylation repair protein
WP_229236266.1	2	sialidase family protein
WP_034709455.1	2	50S ribosomal protein L19
WP_343711526.1	2	phage filamentation protein Fil family protein
WP_170887128.1	2	flagellar basal body P-ring formation chaperone FlgA
WP_170887129.1	2	flagellar protein FlgN
WP_247822369.1	2	HD domain-containing phosphohydrolase
WP_197822354.1	2	phage virion morphogenesis protein
WP_366360097.1	2	EcoRII N-terminal effector-binding domain-containing protein
WP_401481929.1	2	ACR3 family arsenite efflux transporter
WP_370203488.1	2	PepSY-associated TM helix domain-containing protein
WP_375807784.1	2	arginine--tRNA ligase
WP_002720344.1	2	IS481-like element ISRhsp3 family transposase
WP_010681014.1	2	sucrose-6F-phosphate phosphohydrolase
WP_206241648.1	2	cell wall metabolism sensor histidine kinase WalK
WP_287485576.1	2	PBECR4 domain-containing protein
WP_269709948.1	2	NAD/NADP-dependent octopine/nopaline dehydrogenase family protein
WP_269709952.1	2	indoleacetamide hydrolase
Unknown	2	CorA family divalent cation transporter
WP_030822223.1	2	LLM class F420-dependent oxidoreductase
WP_165497816.1	2	beta-propeller fold lactonase family protein
WP_249852549.1	2	YqiA/YcfP family alpha/beta fold hydrolase
WP_234098959.1	2	diguanylate phosphodiesterase
WP_044858613.1	2	YdaS family helix-turn-helix protein
WP_311227900.1	2	NlpC/P60 family protein
WP_352725225.1	2	E2/UBC family protein
WP_161914283.1	2	gephyrin-like molybdotransferase Glp
WP_022998158.1	2	flagellar hook assembly protein FlgD
WP_092996222.1	2	enoyl-CoA hydratase/isomerase family protein
WP_005008496.1	2	HpcH/HpaI aldolase/citrate lyase family protein
WP_085084274.1	2	DUF6117 family protein
WP_250958065.1	2	prevent-host-death family protein
WP_017070267.1	2	DUF2955 domain-containing protein
WP_172587267.1	2	2-octaprenyl-6-methoxyphenyl hydroxylase
WP_320395757.1	2	4-fold beta flower protein
WP_177043620.1	2	penicillin-binding protein 1C
WP_166071635.1	2	DUF1993 family protein
WP_274076645.1	2	NAD(P)H-quinone oxidoreductase
WP_027567965.1	2	ferredoxin FdxA
WP_014786588.1	2	sugar kinase
WP_003939976.1	2	DUF485 domain-containing protein
WP_309038203.1	2	DUF417 family protein
WP_191206432.1	2	phosphotransferase family protein
WP_378446114.1	2	TIGR02611 family protein
WP_122485049.1	2	beta-ketoacyl-ACP synthase II
WP_348455304.1	2	MaoC family dehydratase N-terminal domain-containing protein
WP_077107185.1	2	sugar ABC transporter substrate-binding protein
WP_292855865.1	2	YgiQ family radical SAM protein
WP_404688014.1	2	Abi-alpha family protein
Unknown	2	DUF808 domain-containing protein
WP_109803962.1	2	thiopeptide-type bacteriocin biosynthesis protein
WP_279667361.1	2	nucleoside deaminase
WP_280095929.1	2	phosphoribosylamine--glycine ligase
WP_247799777.1	2	ribosome maturation factor RimM
WP_005665949.1	2	YggT family protein
WP_061671259.1	2	ferredoxin-type protein NapF
WP_050948635.1	2	Tat proofreading chaperone DmsD
WP_112122907.1	2	dimethyl sulfoxide reductase anchor subunit family protein
WP_227990547.1	2	DMSO/selenate family reductase complex B subunit
WP_082422642.1	2	ABC-F family ATPase
WP_162415486.1	2	M28 family peptidase
WP_130857299.1	2	chemotaxis protein CheB
WP_033073838.1	2	GSU2403 family nucleotidyltransferase fold protein
WP_225884186.1	2	DUF6283 family protein
WP_400871347.1	2	FecCD family ABC transporter permease
WP_136484640.1	2	nucleobase:cation symporter-2 family protein
WP_242940267.1	2	type I restriction enzyme endonuclease domain-containing protein
WP_379001740.1	2	TssN family type VI secretion system protein
WP_378961571.1	2	type VI secretion system baseplate subunit TssG
WP_331027131.1	2	DUF2840 domain-containing protein
WP_313752519.1	2	phage tail assembly protein
WP_313752520.1	2	phage major tail tube protein
WP_211033431.1	2	DeoR family transcriptional regulator
WP_305427828.1	2	LasR-specific antiactivator QslA
Unknown	2	cache domain-containing protein
WP_408842443.1	2	uracil-DNA glycosylase
WP_010248531.1	2	two-component system response regulator NarL
WP_149304216.1	2	zinc-dependent metalloprotease
WP_259005124.1	2	nitrogen assimilation transcriptional regulator NAC
WP_141046844.1	2	deoxyribonuclease IV
WP_047022073.1	2	tRNA (uridine(54)-C5)-methyltransferase TrmA
WP_404689073.1	2	VENN motif pre-toxin domain-containing protein
WP_147661739.1	2	LVIVD repeat-containing protein
WP_309996244.1	2	conjugative transposon protein TraN
WP_289145306.1	2	strawberry notch-like NTP hydrolase domain-containing protein
WP_309941757.1	2	DUF2314 domain-containing protein
WP_168476257.1	2	GH25 family lysozyme
WP_121147939.1	2	cytochrome c biogenesis protein CcdA
WP_313261710.1	2	DUF4297 family anti-phage-associated protein
WP_072880411.1	2	YebC/PmpR family DNA-binding transcriptional regulator
Unknown	2	DUF6988 family protein
WP_284037064.1	2	DnaB-like helicase C-terminal domain-containing protein
WP_133816099.1	2	cysteine--tRNA ligase
WP_322675115.1	2	DUF6918 family protein
WP_127639723.1	2	plasmid maintenance toxin (PemK-like)
WP_119395761.1	2	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ
Unknown	2	cation:proton antiporter
WP_226264632.1	2	TIGR04255 family protein
WP_226308244.1	2	acyl-CoA dehydrogenase
WP_086209876.1	2	anaerobic sulfatase maturase
WP_349319897.1	2	DUF6118 family protein
WP_089504421.1	2	IS3-like element IS1389 family transposase
WP_231420638.1	2	ion channel
WP_336783317.1	2	nuclease-related domain-containing DEAD/DEAH box helicase
WP_336783328.1	2	DUF3298 and DUF4163 domain-containing protein
WP_099275072.1	2	hydrogen peroxide-inducible genes activator
WP_257374415.1	2	TerC family protein
WP_298995956.1	2	ERCC4 domain-containing protein
WP_355510204.1	2	MAB_1171c family putative transporter
WP_291443234.1	2	glycoside hydrolase family 75 protein
WP_065236501.1	2	terminase family protein
WP_122473648.1	2	oxygen-independent coproporphyrinogen III oxidase
WP_352689457.1	2	UxaA family hydrolase
WP_078788919.1	2	WGR domain-containing protein
WP_145189946.1	2	sugar phosphate isomerase/epimerase family protein
WP_163399414.1	2	RNA polymerase sigma-70 factor
WP_290021811.1	2	CesT family type III secretion system chaperone
WP_003099086.1	2	50S ribosomal protein L20
WP_068854189.1	2	trimeric intracellular cation channel family protein
Unknown	2	glycine/betaine ABC transporter substrate-binding protein
WP_249721222.1	2	KAP family NTPase
WP_313928325.1	2	enhanced serine sensitivity protein SseB C-terminal domain-containing protein
WP_334503104.1	2	formate dehydrogenase accessory sulfurtransferase FdhD
WP_334484754.1	2	TAXI family TRAP transporter solute-binding subunit
Unknown	2	manganese catalase family protein
WP_248804103.1	2	colicin E3/pyocin S6 family cytotoxin
WP_202863184.1	2	MutH/Sau3AI family endonuclease
WP_034742347.1	2	shikimate dehydrogenase
Unknown	2	type II toxin-antitoxin system mRNA interferase toxin%2C RelE/StbE family
WP_061656657.1	2	gluconate permease GntP
WP_248126440.1	2	ABC-three component system middle component 6
WP_111443517.1	2	DUF536 domain-containing protein
WP_031422876.1	2	carboxylesterase
WP_076104152.1	2	sirohydrochlorin chelatase
WP_290297000.1	2	M17 family peptidase N-terminal domain-containing protein
WP_201617245.1	2	PhoX family protein
WP_371713544.1	2	TrkH family potassium uptake protein
WP_369754107.1	2	cystathionine gamma-synthase
WP_021010095.1	2	hemolysin family protein
WP_021010105.1	2	DUF2798 domain-containing protein
WP_350503636.1	2	DUF3631 domain-containing protein
WP_359828276.1	2	multiple cyclophane-containing RiPP AmcA
Unknown	2	OB-fold nucleic acid binding domain-containing protein
WP_347976789.1	2	molybdopterin cofactor-binding domain-containing protein
WP_284173273.1	2	FAD binding domain-containing protein
WP_222621972.1	2	O-methyltransferase
WP_107207986.1	2	molecular chaperone GroEL
WP_045137470.1	2	30S ribosomal protein S6--L-glutamate ligase
WP_011694975.1	2	aliphatic sulfonate ABC transporter substrate-binding protein
WP_071627378.1	2	tRNA pseudouridine(13) synthase TruD
WP_004576871.1	2	BrnA antitoxin family protein
Unknown	2	low temperature requirement protein A
WP_258892759.1	2	class II 3-deoxy-7-phosphoheptulonate synthase
WP_124696116.1	2	glycosaminoglycan attachment protein
WP_425480709.1	2	DUF6364 family protein
WP_374407896.1	2	thioesterase family protein
WP_225575347.1	2	type II toxin-antitoxin system HipA family toxin YjjJ
WP_027287629.1	2	glyoxylate/hydroxypyruvate reductase A
WP_027287631.1	2	zinc transporter ZntB
Unknown	2	phosphoglucosamine mutase
WP_297902827.1	2	glycerol-3-phosphate 1-O-acyltransferase PlsB
WP_250492927.1	2	CBASS cGAMP-activated phospholipase
WP_064041735.1	2	FlhC family transcriptional regulator
WP_331709566.1	2	flagellar transcriptional regulator FlhD
WP_309323850.1	2	DUF1266 domain-containing protein
WP_267109899.1	2	maltotransferase domain-containing protein
WP_267109831.1	2	maltose alpha-D-glucosyltransferase
WP_267109832.1	2	1%2C4-alpha-glucan branching protein GlgB
WP_348013720.1	2	lipase/acyltransferase domain-containing protein
WP_018608070.1	2	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
WP_387771897.1	2	glycoside hydrolase family 13 protein
WP_387771909.1	2	bifunctional RNase H/acid phosphatase
WP_368397891.1	2	TVP38/TMEM64 family protein
Unknown	2	phage late control D family protein
WP_025506588.1	2	DUF4382 domain-containing protein
WP_408077414.1	2	MlaD family protein
Unknown	2	DNA/RNA helicase%2C superfamily II protein
WP_258708788.1	2	HORMA domain containing protein
WP_281980768.1	2	LysM peptidoglycan-binding domain-containing protein
WP_252221047.1	2	tRNA-dihydrouridine synthase
WP_004679332.1	2	sigma-54-dependent transcriptional regulator
WP_219042722.1	2	acetylornithine transaminase
WP_146858046.1	2	cell envelope integrity protein CreD
WP_047863090.1	2	acetylglutamate kinase
WP_047863091.1	2	N-acetyl-gamma-glutamyl-phosphate reductase
WP_230164516.1	2	30S ribosomal protein S1
WP_257246252.1	2	late competence development ComFB family protein
WP_257246258.1	2	5'-3' exonuclease H3TH domain-containing protein
WP_292274396.1	2	RNA 2'%2C3'-cyclic phosphodiesterase
WP_194799867.1	2	(d)CMP kinase
WP_281600769.1	2	DUF4913 domain-containing protein
WP_228894306.1	2	dynamin family protein
WP_028722273.1	2	regulatory protein YcgZ
WP_118225607.1	2	YjdF family protein
WP_118107796.1	2	complexin-2
WP_015667229.1	2	ribonuclease D
Unknown	2	translesion DNA synthesis-associated protein ImuA
WP_357570701.1	2	CRISPR-associated endonuclease Cas2
WP_068417557.1	2	Tex family protein
WP_068417573.1	2	Xaa-Pro dipeptidyl-peptidase
WP_076453875.1	2	alkaline phosphatase
WP_235581784.1	2	cell division protein FtsL
WP_014947959.1	2	DUF3392 family protein
WP_049588920.1	2	trehalase family glycosidase
WP_099760431.1	2	acetate--CoA ligase
WP_220629276.1	2	tRNA dihydrouridine synthase
WP_108126728.1	2	cyclophane-forming radical SAM/SPASM peptide maturase GrrM/OscB
Unknown	2	carboxyl transferase domain-containing protein
Unknown	2	GDSL-type esterase/lipase family protein
WP_226036619.1	2	YibE/F family protein
WP_404306948.1	2	lactate utilization protein
WP_085546127.1	2	filamentous hemagglutinin N-terminal domain-containing protein
WP_110576476.1	2	TIGR02450 family Trp-rich protein
WP_210787477.1	2	DUF4259 domain-containing protein
WP_085956072.1	2	IS3-like element ISKpn34 family transposase
Unknown	2	PTS fructose transporter subunit IIB
WP_245337026.1	2	glycoside hydrolase family 3 C-terminal domain-containing protein
WP_343524139.1	2	aldehyde reductase
WP_340339572.1	2	DUF4390 domain-containing protein
WP_329862977.1	2	FHA domain-containing protein
WP_329862979.1	2	bifunctional nuclease family protein
WP_068742646.1	2	LCP family protein
WP_161663815.1	2	ferrochelatase
WP_378518088.1	2	precorrin-6y C5%2C15-methyltransferase (decarboxylating) subunit CbiE
WP_378518089.1	2	magnesium chelatase subunit D family protein
WP_378518090.1	2	5%2C6-dimethylbenzimidazole synthase
WP_024700463.1	2	heme biosynthesis HemY N-terminal domain-containing protein
WP_307836044.1	2	2Fe-2S iron-sulfur cluster-binding protein
WP_334959063.1	2	Uma2 family endonuclease
WP_138660012.1	2	transglutaminase domain-containing protein
WP_046211880.1	2	NIPSNAP family protein
WP_036133202.1	2	acetyl-CoA carboxylase%2C carboxyltransferase subunit beta
WP_129084231.1	2	riboflavin synthase
WP_049054750.1	2	CopD family protein
WP_043128368.1	2	ferredoxin reductase family protein
WP_023582946.1	2	DUF4156 domain-containing protein
WP_067213793.1	2	chromate transporter
WP_028269736.1	2	LPXTG cell wall anchor domain-containing protein
WP_408360728.1	2	KGGVGR-motif variant AAA ATPase
WP_057892633.1	2	DUF2922 domain-containing protein
WP_321993986.1	2	DUF2334 domain-containing protein
WP_377173075.1	2	TRAP transporter small permease subunit
WP_377172867.1	2	choline ABC transporter substrate-binding protein
WP_377172866.1	2	choline ABC transporter permease subunit
WP_377172865.1	2	choline ABC transporter ATP-binding protein
WP_275952462.1	2	DUF6644 family protein
WP_276984373.1	2	integron protein cassette protein
WP_407706970.1	2	stress response translation initiation inhibitor YciH
WP_299126281.1	2	DUF4442 domain-containing protein
WP_306595297.1	2	DNA modification system-associated small protein
WP_306595298.1	2	DNA sulfur modification protein DndD
WP_290523543.1	2	urease accessory protein UreE
WP_348710880.1	2	GEVED domain-containing protein
WP_120460047.1	2	glycoside-pentoside-hexuronide (GPH):cation symporter
WP_371545071.1	2	substrate-binding periplasmic protein
WP_102317698.1	2	galactokinase
WP_072453959.1	2	RNA-guided endonuclease TnpB family protein
WP_033080481.1	2	PEP-CTERM sorting domain-containing protein
WP_111326436.1	2	3-isopropylmalate dehydratase small subunit
WP_034460329.1	2	aspartate-semialdehyde dehydrogenase
WP_006451539.1	2	acetyl-CoA carboxylase biotin carboxyl carrier protein
WP_420839349.1	2	50S ribosomal protein L30
WP_332789812.1	2	lipopolysaccharide biosynthesis protein
WP_146550816.1	2	DUF3173 domain-containing protein
WP_352286815.1	2	PhoX family phosphatase
WP_034611907.1	2	BLUF domain-containing protein
WP_118686760.1	2	cysteine desulfurase family protein
WP_089047959.1	2	DUF5916 domain-containing protein
WP_089047958.1	2	murein L%2CD-transpeptidase catalytic domain family protein
WP_089048142.1	2	dipeptidase PepE
WP_218755104.1	2	adenine deaminase
WP_395362608.1	2	PcfJ domain-containing protein
WP_180564651.1	2	DNA helicase UvrD
WP_247479596.1	2	cysteine dioxygenase family protein
WP_337961613.1	2	diacylglycerol/lipid kinase family protein
WP_183817790.1	2	GTPase ObgE
WP_380428101.1	2	DegV family protein
WP_180948729.1	2	SEC10/PgrA surface exclusion domain-containing protein
WP_088484595.1	2	DUF1521 domain-containing protein
WP_343625843.1	2	putative photosynthetic complex assembly protein PuhE
WP_343625845.1	2	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
WP_343625847.1	2	photosynthetic complex assembly protein PuhC
WP_054109476.1	2	type II TA system antitoxin MqsA family protein
WP_006955935.1	2	excinuclease ABC subunit UvrC
WP_128460049.1	2	DUF1499 domain-containing protein
WP_386962234.1	2	two-component regulator propeller domain-containing protein
WP_213158308.1	2	inverse autotransporter beta domain-containing protein
WP_058697632.1	2	helicase C-terminal domain-containing protein
WP_092082379.1	2	ATP phosphoribosyltransferase
WP_092082381.1	2	ATP phosphoribosyltransferase regulatory subunit
WP_123116688.1	2	1-deoxy-D-xylulose-5-phosphate synthase
WP_072866645.1	2	DUF2167 domain-containing protein
WP_290764651.1	2	phage integrase N-terminal domain-containing protein
WP_000466737.1	2	cell shape-determining protein MreB
WP_046579475.1	2	KPN_02809 family neutral zinc metallopeptidase
WP_200538992.1	2	TIGR03750 family conjugal transfer protein
WP_200678723.1	2	TIGR03745 family integrating conjugative element membrane protein
WP_008107119.1	2	TIGR03758 family integrating conjugative element protein
WP_234472681.1	2	RAQPRD family integrative conjugative element protein
WP_200678729.1	2	TIGR03747 family integrating conjugative element membrane protein
WP_200678731.1	2	type IV conjugative transfer system coupling protein TraD
WP_207427078.1	2	ATP-dependent helicase HrpB
WP_005158200.1	2	glycine oxidase ThiO
WP_005158208.1	2	ABZJ_00895 family protein
WP_152455522.1	2	PleD family two-component system response regulator
WP_056813291.1	2	molybdopterin-dependent oxidoreductase
Unknown	2	valine--pyruvate transaminase
WP_010522859.1	2	DUF4134 domain-containing protein
WP_010522860.1	2	DUF4133 domain-containing protein
WP_029489814.1	2	DUF4141 domain-containing protein
Unknown	2	UDP-glucose 6-dehydrogenase
WP_019953231.1	2	TraI/MobA(P) family conjugative relaxase
WP_377743672.1	2	tryptophan synthase subunit alpha
WP_349914371.1	2	glyoxalase
WP_169205608.1	2	DUF4926 domain-containing protein
WP_216957339.1	2	alkaline phosphatase family protein
WP_329217018.1	2	DUF6093 family protein
WP_066007883.1	2	DUF47 domain-containing protein
WP_003600661.1	2	tryptophan synthase subunit beta
Unknown	2	DUF5672 family protein
WP_230627552.1	2	DUF4258 domain-containing protein
WP_153073602.1	2	smalltalk protein
WP_282966103.1	2	SBBP repeat-containing protein
WP_282966104.1	2	Kelch repeat-containing protein
Unknown	2	DNA repair protein
WP_098657083.1	2	DUF6262 family protein
WP_341087653.1	2	restriction endonuclease-like protein
Unknown	2	DUF6531 domain-containing protein
WP_243760749.1	2	pyocin knob domain-containing protein
WP_105596988.1	2	putative phage tail protein
WP_070352303.1	2	ferredoxin reductase
WP_070972219.1	2	TrkA C-terminal domain-containing protein
WP_070972229.1	2	sodium-translocating pyrophosphatase
WP_332361226.1	2	NADH-quinone oxidoreductase subunit M
WP_210608075.1	2	M14 family zinc carboxypeptidase
WP_227836700.1	2	DUF3653 domain-containing protein
WP_169844577.1	2	transcription elongation factor GreB
WP_346801708.1	2	arsenate reductase
WP_048917109.1	2	trans-aconitate 2-methyltransferase
WP_328534846.1	2	DUF6069 family protein
WP_088947386.1	2	RNA polymerase subunit sigma-70
WP_328534848.1	2	ribosomal protection-like ABC-F family protein
WP_026706660.1	2	cutinase family protein
WP_319916865.1	2	type I restriction endonuclease subunit R%2C EcoR124 family
WP_074637689.1	2	CIA30 family protein
WP_065751048.1	2	Spy/CpxP family protein refolding chaperone
WP_065751171.1	2	TRAP transporter small permease
WP_000118035.1	2	Holliday junction resolvase-like protein
WP_289745781.1	2	homocysteine S-methyltransferase
WP_088162648.1	2	DUF4099 domain-containing protein
WP_395186212.1	2	Na+/H+ antiporter NhaC
WP_396436015.1	2	type IIL restriction-modification enzyme MmeI
Unknown	2	ArsA-related P-loop ATPase
WP_375765020.1	2	DUF5953 family protein
WP_255863606.1	2	ubiquinone-dependent pyruvate dehydrogenase
WP_005479613.1	2	murein L%2CD-transpeptidase family protein
WP_001137892.1	2	macrolide-binding transcriptional repressor MphR(A)
WP_000004159.1	2	macrolide resistance MFS transporter Mrx(A)
WP_000219391.1	2	Mph(A) family macrolide 2'-phosphotransferase
WP_005032116.1	2	choline BCCT transporter BetT
WP_255410133.1	2	primary-amine oxidase
Unknown	2	DUF2130 domain-containing protein
WP_074227979.1	2	alanine--tRNA ligase
WP_000743272.1	2	IS5-like element IS17 family transposase
WP_085944009.1	2	IS3-like element ISAba34 family transposase
WP_349517722.1	2	urease accessory UreF family protein
WP_008060578.1	2	cyanase
WP_008060576.1	2	nitrate ABC transporter permease
WP_312886767.1	2	AVAST type 3 anti-phage proein Avs3b
WP_000062823.1	2	PaaX family transcriptional regulator C-terminal domain-containing protein
WP_322021681.1	2	fimbria/pilus outer membrane usher protein
WP_359272538.1	2	BREX system ATP-binding protein BrxD
WP_257844363.1	2	transcriptional regulator domain-containing protein
WP_012455995.1	2	succinate dehydrogenase iron-sulfur subunit
WP_012455996.1	2	AprI/Inh family metalloprotease inhibitor
WP_012455998.1	2	KpsF/GutQ family sugar-phosphate isomerase
WP_141953146.1	2	enoyl-CoA hydratase-related protein
WP_012456005.1	2	magnesium transporter CorA family protein
WP_348174362.1	2	DUF2490 domain-containing protein
WP_021154933.1	2	HdeD family acid-resistance protein
WP_104262309.1	2	glycoside hydrolase family 95-like protein
WP_104262310.1	2	L-arabinose isomerase
WP_307674426.1	2	replication-relaxation family protein
WP_272606868.1	2	3-oxoacyl-[acyl-carrier-protein] synthase III C-terminal domain-containing protein
WP_207978153.1	2	high-affinity branched-chain amino acid ABC transporter permease LivM
WP_305534347.1	2	DUF3127 domain-containing protein
WP_305534349.1	2	5'-nucleotidase C-terminal domain-containing protein
WP_371082205.1	2	acido-empty-quinoprotein group A
WP_011381519.1	2	cysteine synthase CysM
WP_041352583.1	2	ComEA family DNA-binding protein
WP_382235046.1	2	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase
Unknown	2	NAD-dependent epimerase/dehydratase
WP_145094747.1	2	radical SAM/SPASM domain-containing protein
WP_029105869.1	2	MgtC/SapB family protein
WP_314862160.1	2	SseB family protein
WP_057726031.1	2	SagB/ThcOx family dehydrogenase
Unknown	2	HD family hydrolase
WP_124831041.1	2	IS3-like element ISBvi7 family transposase
WP_347986371.1	2	formylglycine-generating enzyme family protein
WP_217515053.1	2	SWIM zinc finger domain-containing protein
WP_168825451.1	2	DNA polymerase I
WP_225121519.1	2	HGGxSTG domain-containing protein
WP_334304896.1	2	cysteine-rich KTR domain-containing protein
WP_271996561.1	2	YvaD family protein
WP_241916918.1	2	phage major capsid protein%2C P2 family
WP_241916920.1	2	terminase ATPase subunit family protein
WP_307502108.1	2	signal recognition particle-docking protein FtsY
WP_307502099.1	2	DUF962 domain-containing protein
WP_124890345.1	2	D-alanine--D-alanine ligase
WP_346541587.1	2	GH36-type glycosyl hydrolase domain-containing protein
WP_216844881.1	2	YnfU family zinc-binding protein
WP_010675589.1	2	DUF3299 domain-containing protein
WP_128296052.1	2	siroheme synthase CysG
WP_209752926.1	2	lipid kinase
WP_077830092.1	2	phage replisome organizer N-terminal domain-containing protein
WP_142613176.1	2	DUF2892 domain-containing protein
WP_243249961.1	2	YhjD/YihY/BrkB family envelope integrity protein
WP_256858874.1	2	SpvB/TcaC N-terminal domain-containing protein
WP_348417620.1	2	anti-sigma factor
WP_211743962.1	2	L-tyrosine/L-tryptophan isonitrile synthase family protein
WP_360475911.1	2	TIGR04222 domain-containing membrane protein
WP_140834019.1	2	toxic anion resistance protein
WP_197105176.1	2	DUF5067 domain-containing protein
WP_264319308.1	2	DnaA ATPase domain-containing protein
WP_003843778.1	2	methyltransferase family protein
WP_352790451.1	2	PAN domain-containing protein
WP_047278851.1	2	transcriptional regulator SutA
WP_388641879.1	2	anti-sigma factor family protein
WP_045923762.1	2	energy-coupling factor transporter transmembrane component T
WP_015021078.1	2	MptD family putative ECF transporter S component
WP_247269339.1	2	excinuclease
WP_241286477.1	2	DUF3892 domain-containing protein
Unknown	2	ArsA family ATPase
WP_040105886.1	2	cory-CC-star protein
WP_223155595.1	2	IS3-like element ISAba14 family transposase
WP_007898651.1	2	DUF6453 family protein
WP_283487471.1	2	heat-inducible transcriptional repressor HrcA
WP_283487480.1	2	plasmid-related transcriptional repressor protein
