Protein ID	Frequency	Description
WP_186912348.1	2	DinB family protein
WP_186912349.1	2	AraC family transcriptional regulator
WP_186912350.1	2	hypothetical protein
WP_186912351.1	2	hypothetical protein
WP_186912352.1	2	HAD domain-containing protein
WP_186912353.1	2	phosphoribosyltransferase-like protein
WP_186912354.1	2	hypothetical protein
WP_186912355.1	2	hypothetical protein
WP_186912356.1	2	N-6 DNA methylase
WP_186912357.1	2	site-specific integrase
WP_186912358.1	2	hypothetical protein
WP_303034853.1	2	STAS-like domain-containing protein
WP_303029663.1	2	STAS-like domain-containing protein
WP_185658219.1	2	WYL domain-containing protein
WP_124455055.1	2	NADAR family protein
WP_124455057.1	2	PfkB family carbohydrate kinase
WP_124455059.1	2	hypothetical protein
WP_124455061.1	2	hypothetical protein
WP_124455064.1	2	hypothetical protein
WP_124455066.1	2	hypothetical protein
WP_124455068.1	2	DUF932 domain-containing protein
WP_111716770.1	2	phosphotransferase
WP_242444250.1	2	nucleotidyltransferase family protein
WP_111716772.1	2	PHP domain-containing protein
WP_338066944.1	2	GrpB family protein
WP_242444251.1	2	retron St85 family RNA-directed DNA polymerase
WP_111716774.1	2	hypothetical protein
WP_242444252.1	2	HNH endonuclease
WP_111716776.1	2	hypothetical protein
WP_111716777.1	2	hypothetical protein
WP_111716779.1	2	hypothetical protein
WP_049615886.1	2	DUF2732 family protein
WP_144368453.1	2	hypothetical protein
WP_118437775.1	2	DUF3427 domain-containing protein
WP_011105657.1	2	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
WP_001145625.1	2	30S ribosomal protein S21
WP_005453780.1	2	GatB/YqeY domain-containing protein
WP_005497027.1	2	DNA primase
WP_005453778.1	2	RNA polymerase sigma factor RpoD
WP_267430039.1	2	hypothetical protein
WP_021487203.1	2	hypothetical protein
WP_212487091.1	2	hypothetical protein
WP_423398793.1	2	tyrosine-type recombinase/integrase
WP_071088657.1	2	elongation factor G
WP_128146180.1	2	hypothetical protein
WP_071088661.1	2	AAA family ATPase
WP_071088663.1	2	hypothetical protein
WP_071088665.1	2	hypothetical protein
WP_071088667.1	2	hypothetical protein
WP_071088669.1	2	hypothetical protein
WP_071088671.1	2	FAD-dependent thymidylate synthase
WP_071088673.1	2	alpha-glucosidase/alpha-galactosidase
WP_071088674.1	2	ABC transporter ATP-binding protein
WP_071088675.1	2	ABC transporter permease
WP_018679345.1	2	hypothetical protein
WP_147904609.1	2	YbaN family protein
WP_065301778.1	2	transposase
WP_168338358.1	2	IS3 family transposase
WP_060676660.1	2	DNA polymerase III subunit gamma/tau
WP_005909921.1	2	hypothetical protein
WP_005905945.1	2	50S ribosomal protein L9
WP_005905943.1	2	replicative DNA helicase
WP_008694288.1	2	peptidase U32 family protein
WP_236931788.1	2	phosphoribosyltransferase-like protein
WP_060676658.1	2	hypothetical protein
WP_060676657.1	2	retron St85 family RNA-directed DNA polymerase
WP_060676656.1	2	hypothetical protein
WP_008694286.1	2	FxLYD domain-containing protein
WP_032838326.1	2	putative manganese-dependent inorganic diphosphatase
WP_146858025.1	2	hypothetical protein
WP_146858028.1	2	hypothetical protein
WP_146858030.1	2	hypothetical protein
WP_146858032.1	2	helix-turn-helix domain-containing protein
WP_146858034.1	2	HAD hydrolase family protein
WP_146858036.1	2	hypothetical protein
WP_146858038.1	2	hypothetical protein
WP_146858040.1	2	hypothetical protein
WP_146858042.1	2	PfkB family carbohydrate kinase
WP_146858044.1	2	hypothetical protein
WP_146858046.1	2	cell envelope integrity protein CreD
WP_229768898.1	2	LysR substrate-binding domain-containing protein
WP_229768899.1	2	integrating conjugative element protein
WP_053275700.1	2	conjugal transfer protein TraG N-terminal domain-containing protein
WP_138947822.1	2	hypothetical protein
WP_047860432.1	2	cytochrome P450
WP_047860433.1	2	hypothetical protein
WP_047860434.1	2	methionyl-tRNA formyltransferase
WP_245682774.1	2	hypothetical protein
WP_147333114.1	2	hypothetical protein
WP_075336068.1	2	HD domain-containing protein
WP_047863090.1	2	acetylglutamate kinase
WP_047863091.1	2	N-acetyl-gamma-glutamyl-phosphate reductase
WP_047860438.1	2	GNAT family N-acetyltransferase
WP_047860439.1	2	hypothetical protein
WP_053067208.1	2	aldo/keto reductase
WP_185679110.1	2	DUF736 domain-containing protein
WP_185679222.1	2	relaxase/mobilization nuclease domain-containing protein
WP_185679112.1	2	hypothetical protein
WP_185679113.1	2	hypothetical protein
WP_185679114.1	2	phosphoribosyltransferase-like protein
WP_246438781.1	2	hypothetical protein
WP_246438782.1	2	hypothetical protein
WP_185679116.1	2	DUF4365 domain-containing protein
WP_185679117.1	2	conjugal transfer protein TraG
WP_180157658.1	2	hypothetical protein
WP_180157499.1	2	hypothetical protein
WP_180157501.1	2	ATP-binding protein
WP_343060253.1	2	SIR2 family protein
WP_180157505.1	2	reverse transcriptase family protein
WP_180157507.1	2	phosphoribosyltransferase-like protein
WP_180157509.1	2	hypothetical protein
WP_180157510.1	2	hypothetical protein
WP_180157512.1	2	DNA-processing protein DprA
WP_180157514.1	2	helix-turn-helix transcriptional regulator
WP_180157516.1	2	hypothetical protein
WP_099432945.1	2	reverse transcriptase family protein
WP_260442473.1	2	hypothetical protein
WP_257246252.1	2	late competence development ComFB family protein
WP_257246253.1	2	hypothetical protein
WP_257246254.1	2	AAA family ATPase
WP_257246255.1	2	hypothetical protein
WP_257246258.1	2	5'-3' exonuclease H3TH domain-containing protein
WP_257246259.1	2	DedA family protein
WP_327437518.1	2	reverse transcriptase family protein
WP_148127910.1	2	DUF6233 domain-containing protein
WP_228394520.1	2	glycosyl hydrolase family 18 protein
WP_164971728.1	2	lipase
WP_121591733.1	2	YkvR family protein
WP_281600763.1	2	hypothetical protein
WP_028722265.1	2	hypothetical protein
WP_028722266.1	2	type II toxin-antitoxin system RelE/ParE family toxin
WP_155301426.1	2	hypothetical protein
WP_028722267.1	2	N-6 DNA methylase
WP_028722268.1	2	phosphoribosyltransferase-like protein
WP_028722269.1	2	hypothetical protein
WP_033777920.1	2	hypothetical protein
WP_028722271.1	2	tyrosine-type recombinase/integrase
WP_028722273.1	2	regulatory protein YcgZ
WP_050598370.1	2	hypothetical protein
WP_118107810.1	2	helix-turn-helix domain-containing protein
WP_118107812.1	2	reverse transcriptase family protein
WP_118107806.1	2	hypothetical protein
WP_118225606.1	2	phosphoribosyltransferase
WP_118107798.1	2	plasmid recombination protein
WP_118107796.1	2	complexin-2
WP_118107794.1	2	AAA family ATPase
WP_118107792.1	2	plasmid mobilization protein
WP_015667222.1	2	TadE/TadG family type IV pilus assembly protein
WP_015667223.1	2	septal ring lytic transglycosylase RlpA family protein
WP_015667224.1	2	ABC transporter substrate-binding protein
WP_015667225.1	2	aspartate--tRNA ligase
WP_144058354.1	2	HD domain-containing protein
WP_015667228.1	2	YdiU family protein
WP_015667229.1	2	ribonuclease D
WP_015667230.1	2	hypothetical protein
WP_015667231.1	2	hypothetical protein
WP_015667232.1	2	isochorismatase family protein
WP_369934497.1	2	XAC0095 family protein
WP_369934499.1	2	hypothetical protein
WP_369934500.1	2	hypothetical protein
WP_369934502.1	2	hypothetical protein
WP_369934504.1	2	hypothetical protein
WP_369934505.1	2	hypothetical protein
WP_369934506.1	2	DNA cytosine methyltransferase
WP_369934507.1	2	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type
WP_369938587.1	2	SpoIIE family protein phosphatase
WP_369934510.1	2	ATP-binding protein
WP_369934512.1	2	STAS domain-containing protein
WP_235601961.1	2	ImmA/IrrE family metallo-endopeptidase
WP_079982954.1	2	helicase RepA family protein
WP_005095129.1	2	phosphoribosyltransferase-like protein
WP_071480073.1	2	phosphoribosyltransferase-like protein
WP_157716255.1	2	hypothetical protein
WP_068417563.1	2	hypothetical protein
WP_068417566.1	2	reverse transcriptase family protein
WP_157327992.1	2	multiubiquitin domain-containing protein
WP_157327993.1	2	helix-turn-helix transcriptional regulator
WP_157327995.1	2	FAD-dependent thymidylate synthase
WP_157327997.1	2	hypothetical protein
WP_157327999.1	2	hypothetical protein
WP_157328001.1	2	hypothetical protein
WP_157328003.1	2	hypothetical protein
WP_157328007.1	2	integrase family protein
WP_157328009.1	2	hypothetical protein
WP_157328012.1	2	hypothetical protein
WP_157328014.1	2	universal stress protein
WP_392530881.1	2	IS5 family transposase
WP_073418925.1	2	hypothetical protein
WP_262508683.1	2	reverse transcriptase family protein
WP_049588912.1	2	sugar phosphate isomerase/epimerase
WP_014947959.1	2	DUF3392 family protein
WP_160314218.1	2	N-6 DNA methylase
WP_049588914.1	2	hypothetical protein
WP_049588915.1	2	hypothetical protein
WP_049588916.1	2	hypothetical protein
WP_049588917.1	2	HAD family hydrolase
WP_049588918.1	2	DMT family transporter
WP_049588919.1	2	diguanylate cyclase domain-containing protein
WP_049588920.1	2	trehalase family glycosidase
WP_014997042.1	2	sugar MFS transporter
WP_234405263.1	2	hypothetical protein
WP_000749881.1	2	phosphoporin PhoE
WP_255403448.1	2	integrase arm-type DNA-binding domain-containing protein
WP_255403446.1	2	ATP-dependent endonuclease
WP_255403445.1	2	arsenite efflux transporter metallochaperone ArsD
WP_255403444.1	2	arsenite efflux transporter ATPase subunit ArsA
WP_286732634.1	2	hypothetical protein
WP_286732636.1	2	hypothetical protein
WP_286732638.1	2	HipA domain-containing protein
WP_286732641.1	2	HipA N-terminal domain-containing protein
WP_286732643.1	2	hypothetical protein
WP_286732644.1	2	hypothetical protein
WP_286732646.1	2	hypothetical protein
WP_286732648.1	2	methyltransferase
WP_108126724.1	2	phage integrase N-terminal SAM-like domain-containing protein
WP_108126726.1	2	hypothetical protein
WP_108126728.1	2	cyclophane-forming radical SAM/SPASM peptide maturase GrrM/OscB
WP_108126730.1	2	UPF0489 family protein
WP_108126732.1	2	hypothetical protein
WP_157954427.1	2	hypothetical protein
WP_108126734.1	2	reverse transcriptase family protein
WP_157954428.1	2	GNAT family N-acetyltransferase
WP_269801852.1	2	hypothetical protein
WP_108126738.1	2	hypothetical protein
WP_034932022.1	2	hypothetical protein
WP_152927750.1	2	hypothetical protein
WP_034932019.1	2	hypothetical protein
WP_311095086.1	2	integrase
WP_311095087.1	2	protein NO VEIN domain-containing protein
WP_311095088.1	2	hypothetical protein
WP_311095089.1	2	UvrD-helicase domain-containing protein
WP_311095090.1	2	AAA family ATPase
WP_104094055.1	2	tautomerase family protein
WP_150360885.1	2	AAA family ATPase
WP_150360884.1	2	UvrD-helicase domain-containing protein
WP_150360883.1	2	hypothetical protein
WP_021506506.1	2	SsrA-binding protein SmpB
WP_021506507.1	2	type II toxin-antitoxin system RatA family toxin
WP_150360882.1	2	RnfH family protein
WP_213320147.1	2	hypothetical protein
WP_241701853.1	2	hypothetical protein
WP_108716776.1	2	IS3-like element ISSen4 family transposase
WP_045616269.1	2	hypothetical protein
WP_201032382.1	2	phage integrase N-terminal SAM-like domain-containing protein
WP_201032383.1	2	helix-turn-helix domain-containing protein
WP_242483522.1	2	site-specific integrase
WP_242483523.1	2	hypothetical protein
WP_128856043.1	2	transposase
WP_201032385.1	2	DNA topoisomerase III
WP_197723824.1	2	HNH endonuclease
WP_408631212.1	2	IS3 family transposase
WP_170154331.1	2	uracil phosphoribosyltransferase
WP_241971654.1	2	integrase
WP_110576468.1	2	reverse transcriptase family protein
WP_110576470.1	2	hypothetical protein
WP_110576472.1	2	GNAT family N-acetyltransferase
WP_110576474.1	2	tetratricopeptide repeat protein
WP_420843794.1	2	hypothetical protein
WP_110576476.1	2	TIGR02450 family Trp-rich protein
WP_110576478.1	2	hypothetical protein
WP_070351813.1	2	IS21-like element helper ATPase IstB
WP_260756155.1	2	hypothetical protein
WP_260756157.1	2	hypothetical protein
WP_260756158.1	2	hypothetical protein
WP_228127351.1	2	TauD/TfdA family dioxygenase
WP_005265426.1	2	hypothetical protein
WP_005265427.1	2	hypothetical protein
WP_096855498.1	2	adenylate/guanylate cyclase
WP_096855503.1	2	reverse transcriptase family protein
WP_228261357.1	2	AAA domain-containing protein
WP_085956072.1	2	IS3-like element ISKpn34 family transposase
WP_094106546.1	2	IS1 family transposase
WP_253264373.1	2	DEAD/DEAH box helicase
WP_253264372.1	2	AAA domain-containing protein
WP_195244026.1	2	AAA domain-containing protein
WP_195244027.1	2	phospholipase D-like domain-containing protein
WP_427048667.1	2	relaxase/mobilization nuclease domain-containing protein
WP_427382439.1	2	hypothetical protein
WP_241506326.1	2	hypothetical protein
WP_241506327.1	2	hypothetical protein
WP_241506328.1	2	AAA domain-containing protein
WP_241506329.1	2	integrase domain-containing protein
WP_227532920.1	2	tyrosine-type recombinase/integrase
WP_193408147.1	2	IS3 family transposase
WP_021477546.1	2	50S ribosomal protein L34
WP_096789791.1	2	hypothetical protein
WP_158524514.1	2	YiiX/YebB-like N1pC/P60 family cysteine hydrolase
WP_096789794.1	2	reverse transcriptase family protein
WP_145957408.1	2	hypothetical protein
WP_096789795.1	2	phosphoribosyltransferase-like protein
WP_145957409.1	2	type II toxin-antitoxin system PemK/MazF family toxin
WP_096789797.1	2	hypothetical protein
WP_158524515.1	2	hypothetical protein
WP_244905770.1	2	recombinase family protein
WP_096753040.1	2	IS3 family transposase
WP_000812689.1	2	hypothetical protein
WP_006069462.1	2	glycine cleavage system protein GcvH
WP_047688912.1	2	dTDP-4-dehydrorhamnose reductase
WP_193250656.1	2	hypothetical protein
WP_193250658.1	2	hypothetical protein
WP_057958022.1	2	DUF3077 domain-containing protein
WP_170059462.1	2	hypothetical protein
WP_170059460.1	2	SHOCT domain-containing protein
WP_170059459.1	2	NADAR family protein
WP_170059457.1	2	hypothetical protein
WP_178124527.1	2	Kiwa anti-phage protein KwaB-like domain-containing protein
WP_170059455.1	2	hypothetical protein
WP_170059454.1	2	integrase domain-containing protein
WP_170059453.1	2	integrase arm-type DNA-binding domain-containing protein
WP_265397376.1	2	metallophosphoesterase
WP_033062452.1	2	lysozyme inhibitor LprI family protein
WP_253470593.1	2	hypothetical protein
WP_320389674.1	2	DUF6124 family protein
WP_320389675.1	2	DUF6124 family protein
WP_320389676.1	2	hypothetical protein
WP_320389677.1	2	hypothetical protein
WP_320389678.1	2	hypothetical protein
WP_320389679.1	2	reverse transcriptase family protein
WP_253470597.1	2	MetQ/NlpA family ABC transporter substrate-binding protein
WP_003196204.1	2	methionine ABC transporter permease
WP_320389680.1	2	methionine ABC transporter ATP-binding protein
WP_254566468.1	2	type II toxin-antitoxin system VapC family toxin
WP_221107341.1	2	GNAT family N-acetyltransferase
WP_221137238.1	2	GGDEF domain-containing protein
WP_221137251.1	2	ABC transporter ATP-binding protein
WP_221129592.1	2	ABC transporter ATP-binding protein
WP_221163061.1	2	hypothetical protein
WP_016143184.1	2	hypothetical protein
WP_227696669.1	2	dUTP diphosphatase
WP_227696670.1	2	hypothetical protein
WP_227696671.1	2	hypothetical protein
WP_227696672.1	2	phosphoribosyltransferase-like protein
WP_227696674.1	2	N-6 DNA methylase
WP_036968128.1	2	metalloregulator ArsR/SmtB family transcription factor
WP_151435874.1	2	ABC-three component system protein
WP_151435875.1	2	three component ABC system middle component
WP_151435876.1	2	DUF3732 domain-containing protein
WP_151435879.1	2	tyrosine-type recombinase/integrase
WP_271939652.1	2	hypothetical protein
WP_226923653.1	2	tyrosine-type recombinase/integrase
WP_193776916.1	2	site-specific integrase
WP_063290764.1	2	retron St85 family RNA-directed DNA polymerase
WP_063290763.1	2	hypothetical protein
WP_033134993.1	2	AlpA family transcriptional regulator
WP_106984472.1	2	ABC transporter permease subunit
WP_106984473.1	2	amino acid ABC transporter permease
WP_106984474.1	2	transporter substrate-binding domain-containing protein
WP_106984478.1	2	hypothetical protein
WP_106984479.1	2	reverse transcriptase family protein
WP_106984481.1	2	hypothetical protein
WP_106984482.1	2	SDR family oxidoreductase
WP_066759190.1	2	helix-turn-helix transcriptional regulator
WP_082891221.1	2	nucleoid-associated protein
WP_066759200.1	2	hypothetical protein
WP_066759201.1	2	reverse transcriptase family protein
WP_169816840.1	2	hypothetical protein
WP_021677043.1	2	HD domain-containing protein
WP_021677044.1	2	C1 family peptidase
WP_021677045.1	2	hypothetical protein
WP_021677046.1	2	biotin--[acetyl-CoA-carboxylase] ligase
WP_223327077.1	2	ABC transporter ATP-binding protein
WP_223327078.1	2	ABC transporter permease
WP_001044624.1	2	50S ribosomal protein L13
WP_000075973.1	2	30S ribosomal protein S9
WP_223327079.1	2	IS30 family transposase
WP_223327080.1	2	hypothetical protein
WP_223327081.1	2	helix-turn-helix transcriptional regulator
WP_020904081.1	2	DUF3732 domain-containing protein
WP_020904082.1	2	three component ABC system middle component
WP_020904083.1	2	hypothetical protein
WP_020904084.1	2	esterase/lipase family protein
WP_020904086.1	2	reverse transcriptase family protein
WP_125921037.1	2	hypothetical protein
WP_070885548.1	2	helix-turn-helix transcriptional regulator
WP_125921038.1	2	helix-turn-helix transcriptional regulator
WP_125921039.1	2	hypothetical protein
WP_125921040.1	2	hypothetical protein
WP_125921041.1	2	hypothetical protein
WP_125921042.1	2	DNA adenine methylase
WP_125921043.1	2	Fic family protein
WP_084929335.1	2	phosphoribosyltransferase-like protein
WP_154289010.1	2	phosphoribosyltransferase-like protein
WP_269754577.1	2	hypothetical protein
WP_153442746.1	2	integrase domain-containing protein
WP_153442748.1	2	integrase arm-type DNA-binding domain-containing protein
WP_088500274.1	2	LysR substrate-binding domain-containing protein
WP_048388895.1	2	tartrate dehydrogenase
WP_261973801.1	2	type I restriction-modification system subunit M
WP_261973802.1	2	restriction endonuclease subunit S
WP_261973803.1	2	hypothetical protein
WP_261973804.1	2	RNA-directed DNA polymerase
WP_261973806.1	2	hypothetical protein
WP_261973807.1	2	reverse transcriptase family protein
WP_261973808.1	2	McrB family protein
WP_261973809.1	2	McrC family protein
WP_261973810.1	2	hypothetical protein
WP_261973811.1	2	hypothetical protein
WP_249021617.1	2	ISAzo13 family transposase
WP_132941414.1	2	phosphoribosyltransferase-like protein
WP_025217667.1	2	MarC family protein
WP_378518080.1	2	response regulator
WP_378518081.1	2	hypothetical protein
WP_378518082.1	2	tetratricopeptide repeat protein
WP_378518083.1	2	tyrosine-type recombinase/integrase
WP_378518084.1	2	nuclease-related domain-containing protein
WP_378518085.1	2	hypothetical protein
WP_378518086.1	2	hypothetical protein
WP_378518087.1	2	hypothetical protein
WP_378518088.1	2	precorrin-6y C5%2C15-methyltransferase (decarboxylating) subunit CbiE
WP_378518089.1	2	magnesium chelatase subunit D family protein
WP_260604392.1	2	reverse transcriptase family protein
WP_211094159.1	2	restriction endonuclease
WP_271643756.1	2	recombinase family protein
WP_271643757.1	2	plasmid partitioning protein RepB C-terminal domain-containing protein
WP_271643758.1	2	plasmid partitioning protein RepB C-terminal domain-containing protein
WP_271643759.1	2	hypothetical protein
WP_271643760.1	2	reverse transcriptase family protein
WP_271643761.1	2	helix-turn-helix transcriptional regulator
WP_271643762.1	2	DUF3375 domain-containing protein
WP_271643763.1	2	DUF4194 domain-containing protein
WP_271643764.1	2	ATP-binding protein
WP_018482016.1	2	cold-shock protein
WP_018482017.1	2	NYN domain-containing protein
WP_247999153.1	2	hypothetical protein
WP_247999152.1	2	helix-turn-helix domain-containing protein
WP_247999151.1	2	Arm DNA-binding domain-containing protein
WP_247999150.1	2	hypothetical protein
WP_247999149.1	2	hypothetical protein
WP_247999148.1	2	hypothetical protein
WP_247999147.1	2	reverse transcriptase family protein
WP_280039404.1	2	TetR/AcrR family transcriptional regulator
WP_280039406.1	2	hypothetical protein
WP_280039408.1	2	hypothetical protein
WP_280039410.1	2	PaaI family thioesterase
WP_069370956.1	2	DapH/DapD/GlmU-related protein
WP_000060070.1	2	MFS transporter
WP_272237236.1	2	DapH/DapD/GlmU-related protein
WP_279979463.1	2	TetR/AcrR family transcriptional regulator
WP_279979465.1	2	hypothetical protein
WP_279979467.1	2	catalase family peroxidase
WP_238973428.1	2	cytochrome b
WP_184409770.1	2	hypothetical protein
WP_239224059.1	2	hypothetical protein
WP_239224069.1	2	site-specific integrase
WP_239224071.1	2	N-6 DNA methylase
WP_239224073.1	2	hypothetical protein
WP_239224075.1	2	hypothetical protein
WP_239224077.1	2	phosphoribosyltransferase-like protein
WP_239224079.1	2	tyrosine-type recombinase/integrase
WP_043386863.1	2	class 1 fructose-bisphosphatase
WP_234686353.1	2	aminopeptidase N
WP_150085534.1	2	IS3 family transposase
WP_118917887.1	2	ComEC/Rec2 family competence protein
WP_118917886.1	2	hypothetical protein
WP_118917885.1	2	hypothetical protein
WP_118917884.1	2	hypothetical protein
WP_118917883.1	2	hypothetical protein
WP_118917882.1	2	hypothetical protein
WP_164967216.1	2	reverse transcriptase domain-containing protein
WP_118917879.1	2	site-specific integrase
WP_118917878.1	2	saccharopine dehydrogenase family protein
WP_014474869.1	2	rubredoxin
WP_348797699.1	2	glycoside-pentoside-hexuronide family transporter
WP_077139480.1	2	glycoside hydrolase
WP_023298351.1	2	PTS transporter subunit EIIC
WP_016161976.1	2	MurR/RpiR family transcriptional regulator
WP_354651699.1	2	PTS transporter subunit EIIC
WP_049054749.1	2	hypothetical protein
WP_049054750.1	2	CopD family protein
WP_049054755.1	2	DUF3817 domain-containing protein
WP_049054751.1	2	GlxA family transcriptional regulator
WP_049054754.1	2	hypothetical protein
WP_152900456.1	2	phosphoribosyltransferase-like protein
WP_020750424.1	2	DUF2845 domain-containing protein
WP_033942039.1	2	hypothetical protein
WP_033937929.1	2	hypothetical protein
WP_354419650.1	2	hypothetical protein
WP_354419652.1	2	hypothetical protein
WP_354419654.1	2	DUF262 domain-containing HNH endonuclease family protein
WP_354419655.1	2	hypothetical protein
WP_354419657.1	2	hypothetical protein
WP_354419658.1	2	hypothetical protein
WP_354419660.1	2	DNA methyltransferase
WP_354419662.1	2	FAD-dependent thymidylate synthase
WP_354419663.1	2	conjugal transfer protein TraD
WP_354419665.1	2	conjugal transfer protein TraD
WP_354419667.1	2	hypothetical protein
WP_064697785.1	2	hypothetical protein
WP_326893026.1	2	hypothetical protein
WP_250481241.1	2	IS66 family insertion sequence element accessory protein TnpB
WP_309788518.1	2	IS66 family transposase
WP_309788519.1	2	hypothetical protein
WP_309788520.1	2	N-6 DNA methylase
WP_309788521.1	2	hypothetical protein
WP_309788522.1	2	hypothetical protein
WP_309788523.1	2	hypothetical protein
WP_309788524.1	2	restriction endonuclease
WP_309788525.1	2	HU family DNA-binding protein
WP_309788526.1	2	SET domain-containing protein-lysine N-methyltransferase
WP_179728827.1	2	hypothetical protein
WP_345099743.1	2	hypothetical protein
WP_237297668.1	2	hypothetical protein
WP_080434678.1	2	reverse transcriptase family protein
WP_102577487.1	2	phenylalanine--tRNA ligase subunit beta
WP_102577486.1	2	hypothetical protein
WP_102577485.1	2	hypothetical protein
WP_000616844.1	2	alpha/beta fold hydrolase
WP_274366558.1	2	metal-dependent hydrolase
WP_249666867.1	2	NAD-dependent epimerase/dehydratase family protein
WP_274366559.1	2	TetR/AcrR family transcriptional regulator
WP_162531623.1	2	hypothetical protein
WP_269505983.1	2	ATP-binding protein
WP_269512616.1	2	reverse transcriptase family protein
WP_269516704.1	2	hypothetical protein
WP_008003166.1	2	DNA-binding transcriptional regulator
WP_008046542.1	2	4-oxalocrotonate tautomerase family protein
WP_046040829.1	2	DsbA family oxidoreductase
WP_046040831.1	2	SDR family NAD(P)-dependent oxidoreductase
WP_185754784.1	2	hypothetical protein
WP_046040833.1	2	hypothetical protein
WP_223465571.1	2	reverse transcriptase family protein
WP_227535309.1	2	hypothetical protein
WP_234472868.1	2	amidohydrolase family protein
WP_200578525.1	2	membrane-bound PQQ-dependent dehydrogenase%2C glucose/quinate/shikimate family
WP_387083560.1	2	hypothetical protein
WP_387083562.1	2	restriction endonuclease subunit S
WP_387083563.1	2	type I restriction-modification system subunit M
WP_387083564.1	2	type I restriction endonuclease subunit R
WP_387083565.1	2	hypothetical protein
WP_387083566.1	2	hypothetical protein
WP_387083567.1	2	reverse transcriptase family protein
WP_387083568.1	2	DUF3883 domain-containing protein
WP_387083569.1	2	hypothetical protein
WP_387083706.1	2	hypothetical protein
WP_000565776.1	2	hypothetical protein
WP_000405618.1	2	hypothetical protein
WP_000392111.1	2	hypothetical protein
WP_000106158.1	2	reverse transcriptase family protein
WP_000122924.1	2	hypothetical protein
WP_000179434.1	2	AAA family ATPase
WP_001031196.1	2	tetratricopeptide repeat protein
WP_057892625.1	2	helix-turn-helix domain-containing protein
WP_057892626.1	2	protein-export chaperone SecB
WP_057892627.1	2	ABC transporter substrate-binding protein
WP_162258550.1	2	reverse transcriptase family protein
WP_057892629.1	2	hypothetical protein
WP_057892630.1	2	phosphoribosyltransferase-like protein
WP_057892632.1	2	hypothetical protein
WP_057892633.1	2	DUF2922 domain-containing protein
WP_057892634.1	2	hypothetical protein
WP_057892635.1	2	hypothetical protein
WP_036869332.1	2	HIT family protein
WP_036869324.1	2	AAA family ATPase
WP_023983915.1	2	GIY-YIG nuclease family protein
WP_321993987.1	2	protein adenylyltransferase SelO family protein
WP_321993986.1	2	DUF2334 domain-containing protein
WP_321993985.1	2	DUF2075 domain-containing protein
WP_321993984.1	2	nucleotide pyrophosphohydrolase
WP_321993983.1	2	DUF2075 domain-containing protein
WP_321993982.1	2	uracil phosphoribosyltransferase
WP_321993981.1	2	hypothetical protein
WP_321993980.1	2	retron St85 family RNA-directed DNA polymerase
WP_321993979.1	2	hypothetical protein
WP_321993978.1	2	hypothetical protein
WP_321993977.1	2	hypothetical protein
WP_377172868.1	2	TRAP transporter large permease subunit
WP_377173075.1	2	TRAP transporter small permease subunit
WP_377172867.1	2	choline ABC transporter substrate-binding protein
WP_377172866.1	2	choline ABC transporter permease subunit
WP_377172865.1	2	choline ABC transporter ATP-binding protein
WP_377172864.1	2	phosphoribosyltransferase
WP_377172863.1	2	hypothetical protein
WP_377172862.1	2	reverse transcriptase domain-containing protein
WP_377172861.1	2	hypothetical protein
WP_377172860.1	2	sulfotransferase family protein
WP_102698279.1	2	PfkB family carbohydrate kinase
WP_102698280.1	2	nucleotidyl transferase AbiEii/AbiGii toxin family protein
WP_102698281.1	2	type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein
WP_102698282.1	2	hypothetical protein
WP_102698283.1	2	hypothetical protein
WP_102698284.1	2	phosphoribosyltransferase-like protein
WP_102698285.1	2	HAD hydrolase family protein
WP_086995415.1	2	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
WP_350594658.1	2	DUF3258 domain-containing protein
WP_350594657.1	2	N-6 DNA methylase
WP_350594655.1	2	hypothetical protein
WP_350594652.1	2	hypothetical protein
WP_350594650.1	2	hypothetical protein
WP_350594648.1	2	hypothetical protein
WP_350594647.1	2	hypothetical protein
WP_350594644.1	2	site-specific integrase
WP_350594642.1	2	AAA family ATPase
WP_350594640.1	2	hypothetical protein
WP_013530103.1	2	DUF4142 domain-containing protein
WP_063168796.1	2	DUF1476 domain-containing protein
WP_275952461.1	2	DUF6152 family protein
WP_275952462.1	2	DUF6644 family protein
WP_127414963.1	2	RidA family protein
WP_275952463.1	2	hypothetical protein
WP_275952464.1	2	reverse transcriptase family protein
WP_275952465.1	2	carbamoyl-phosphate synthase large subunit
WP_063173777.1	2	SH3 domain-containing protein
WP_063168791.1	2	metallophosphoesterase family protein
WP_013530112.1	2	helix-turn-helix transcriptional regulator
WP_135709517.1	2	helix-turn-helix domain-containing protein
WP_135709516.1	2	type II toxin-antitoxin system RelE/ParE family toxin
WP_276984379.1	2	phosphoribosyltransferase-like protein
WP_276984382.1	2	reverse transcriptase family protein
WP_276984385.1	2	DUF72 domain-containing protein
WP_005824577.1	2	hypothetical protein
WP_273396561.1	2	hypothetical protein
WP_407706970.1	2	stress response translation initiation inhibitor YciH
WP_270465821.1	2	Rne/Rng family ribonuclease
WP_088388793.1	2	pantetheine-phosphate adenylyltransferase
