Most Frequent Protein ID	Frequency	Description
WP_303493096.1	11	glycine cleavage system aminomethyltransferase GcvT
WP_111778801.1	11	type II toxin-antitoxin system RelB family antitoxin
WP_265217878.1	11	NadS family protein
Unknown	11	cell filamentation protein Fic
WP_011081167.1	11	glycine cleavage system protein GcvH
WP_003857694.1	11	type I polyketide synthase
WP_122134935.1	11	secondary thiamine-phosphate synthase enzyme YjbQ
WP_007126124.1	11	RNA-directed DNA polymerase
WP_007806487.1	11	phage tail protein
WP_038419292.1	11	DUF1254 domain-containing protein
WP_291096872.1	11	HsdM family class I SAM-dependent methyltransferase
WP_002392751.1	11	CD3337/EF1877 family mobilome membrane protein
WP_311803096.1	11	hydroxymethylglutaryl-CoA reductase%2C degradative
WP_045908562.1	11	hypothetical protein
WP_219842178.1	11	hypothetical protein
WP_171333588.1	11	hypothetical protein
WP_025324727.1	11	hypothetical protein
WP_049275676.1	11	hypothetical protein
WP_005805884.1	11	hypothetical protein
WP_005805897.1	11	hypothetical protein
WP_036428024.1	11	hypothetical protein
WP_270216850.1	11	hypothetical protein
WP_278481002.1	11	hypothetical protein
WP_278481003.1	11	hypothetical protein
WP_003160115.1	11	hypothetical protein
WP_023102106.1	11	hypothetical protein
WP_003085438.1	11	hypothetical protein
WP_101827566.1	11	hypothetical protein
WP_094694527.1	11	hypothetical protein
WP_094694523.1	11	hypothetical protein
WP_012075820.1	11	hypothetical protein
WP_104877029.1	11	hypothetical protein
WP_001266178.1	11	hypothetical protein
WP_231793536.1	11	hypothetical protein
WP_150019650.1	11	hypothetical protein
WP_032155386.1	11	hypothetical protein
WP_076645149.1	11	hypothetical protein
WP_133960012.1	11	hypothetical protein
WP_003857695.1	11	hypothetical protein
WP_019269579.1	11	hypothetical protein
WP_048321804.1	11	hypothetical protein
WP_248578120.1	11	hypothetical protein
WP_248578121.1	11	hypothetical protein
WP_227757146.1	11	hypothetical protein
WP_020447906.1	11	hypothetical protein
WP_002262809.1	11	hypothetical protein
WP_228339197.1	11	hypothetical protein
WP_061107384.1	11	hypothetical protein
WP_311803089.1	11	hypothetical protein
WP_284072143.1	11	hypothetical protein
WP_007092507.1	10	FadR/GntR family transcriptional regulator
WP_261641054.1	10	conjugal transfer protein TraF
WP_313650695.1	10	DUF3077 domain-containing protein
Unknown	10	IS21-like element IS100 family transposase
WP_367419226.1	10	UDP-glucose 4-epimerase GalE
WP_003123374.1	10	type II toxin-antitoxin system ParD family antitoxin
WP_110060607.1	10	ribosomal protein L7/L12
WP_251647709.1	10	SOS response-associated peptidase
WP_397006113.1	10	DNA-methyltransferase
WP_043862795.1	10	TraX family protein
WP_271904684.1	10	HEPN/Toprim-associated domain-containing protein
WP_165938233.1	10	WYL domain-containing protein
WP_009849756.1	10	nuclease-related domain-containing protein
WP_010373833.1	10	RluA family pseudouridine synthase
WP_010373835.1	10	NAD kinase
WP_010373842.1	10	YfcE family phosphodiesterase
WP_004359161.1	10	HU family DNA-binding protein
WP_195521411.1	10	O-antigen ligase family protein
WP_012668890.1	10	heme o synthase
WP_012668889.1	10	cytochrome o ubiquinol oxidase subunit IV
WP_259326146.1	10	bifunctional class I SAM-dependent methyltransferase/HIT family protein
WP_085407747.1	10	Txe/YoeB family addiction module toxin
WP_050548604.1	10	TauD/TfdA family dioxygenase
WP_016323762.1	10	low molecular weight protein-tyrosine-phosphatase
WP_058585678.1	10	DUF3087 domain-containing protein
WP_288422051.1	10	penicillin binding protein PBP4B
WP_007744999.1	10	PTS sugar transporter subunit IIB
WP_024591896.1	10	prolyl oligopeptidase family serine peptidase
WP_308201265.1	10	PP2C family serine/threonine-protein phosphatase
WP_211754029.1	10	IS3-like element ISKpn34 family transposase
WP_110014922.1	10	FmhC protein
WP_039107079.1	10	alpha%2Calpha-phosphotrehalase
WP_222367246.1	10	nucleotide sugar dehydrogenase
WP_063445615.1	10	SEC-C metal-binding domain-containing protein
WP_005805876.1	10	LPD11 domain-containing protein
WP_230957586.1	10	chromosome segregation protein SMC
WP_208373684.1	10	multifunctional 2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase/5'-nucleotidase
WP_199961119.1	10	Bro-N domain-containing protein
WP_150872233.1	10	hydrogenase maturation peptidase HycI
WP_148569514.1	10	formate hydrogenlyase maturation HycH family protein
WP_150872236.1	10	NADH-quinone oxidoreductase subunit B family protein
WP_150872239.1	10	formate hydrogenlyase complex iron-sulfur subunit
WP_059307317.1	10	formate hydrogenlyase subunit HycE
WP_144233288.1	10	DISARM system helicase DrmA
WP_055174974.1	10	DISARM system SNF2-like helicase DrmD
WP_060579739.1	10	YagK/YfjJ domain-containing protein
WP_003160114.1	10	MerR family DNA-binding transcriptional regulator
WP_200254007.1	10	nucleobase:cation symporter-2 family protein
WP_000064119.1	10	ParB family protein
WP_127075619.1	10	MobV family relaxase
WP_072057271.1	10	YiiX/YebB-like N1pC/P60 family cysteine hydrolase
WP_015542801.1	10	DUF6465 family protein
WP_368241406.1	10	DUF2089 family protein
WP_016462272.1	10	thiamine pyrophosphate-binding protein
WP_055174962.1	10	DrmB family protein
WP_006863978.1	10	Cof-type HAD-IIB family hydrolase
WP_023280894.1	10	ECs_2282 family putative zinc-binding protein
WP_065679879.1	10	MmcQ/YjbR family DNA-binding protein
WP_043300494.1	10	acetoacetate decarboxylase family protein
WP_009621980.1	10	NADH:flavin oxidoreductase/NADH oxidase family protein
WP_010907218.1	10	phosphoenolpyruvate carboxykinase (ATP)
WP_005724348.1	10	2-oxo-hept-4-ene-1%2C7-dioate hydratase
WP_060767308.1	10	MvdC/MvdD family ATP grasp protein
Unknown	10	DinI-like family protein
WP_000762860.1	10	antitermination protein
WP_370637568.1	10	GrpB family protein
WP_111434552.1	10	KTSC domain-containing protein
WP_016530342.1	10	phage minor tail protein L
WP_376716458.1	10	helical hairpin domain-containing protein
WP_230471414.1	10	CdaR family transcriptional regulator
WP_002309705.1	10	PTS sugar transporter subunit IIC
WP_039870867.1	10	DUF3791 domain-containing protein
WP_193992391.1	10	Fur family transcriptional regulator
WP_193992395.1	10	cysteine synthase A
WP_202563054.1	10	lysozyme family protein
WP_022650661.1	10	YbjP/YqhG family protein
WP_116362340.1	10	hypothetical protein
WP_223825263.1	10	hypothetical protein
WP_374990666.1	10	hypothetical protein
WP_010776245.1	10	hypothetical protein
WP_029174598.1	10	hypothetical protein
WP_080983701.1	10	hypothetical protein
WP_005805879.1	10	hypothetical protein
WP_005805881.1	10	hypothetical protein
WP_050503217.1	10	hypothetical protein
WP_040224225.1	10	hypothetical protein
WP_023340903.1	10	hypothetical protein
WP_002295768.1	10	hypothetical protein
WP_002295769.1	10	hypothetical protein
WP_002295771.1	10	hypothetical protein
WP_346967983.1	10	hypothetical protein
WP_049182308.1	10	hypothetical protein
WP_278480997.1	10	hypothetical protein
WP_040017491.1	10	hypothetical protein
WP_332374543.1	10	hypothetical protein
WP_052158593.1	10	hypothetical protein
WP_005522339.1	10	hypothetical protein
WP_204275850.1	10	hypothetical protein
WP_047925767.1	10	hypothetical protein
WP_032733170.1	10	hypothetical protein
WP_011166844.1	10	hypothetical protein
WP_094694529.1	10	hypothetical protein
WP_152604551.1	10	hypothetical protein
WP_009621991.1	10	hypothetical protein
WP_173427914.1	10	hypothetical protein
WP_238603258.1	10	hypothetical protein
WP_032241071.1	10	hypothetical protein
WP_125920301.1	10	hypothetical protein
WP_053870419.1	10	hypothetical protein
WP_094315924.1	10	hypothetical protein
WP_016240378.1	10	hypothetical protein
WP_228308203.1	10	hypothetical protein
WP_195185517.1	10	hypothetical protein
WP_232005413.1	10	hypothetical protein
WP_004935008.1	10	hypothetical protein
WP_089520145.1	10	hypothetical protein
WP_288744808.1	10	hypothetical protein
WP_330510996.1	10	hypothetical protein
WP_002284642.1	10	hypothetical protein
WP_036421050.1	10	hypothetical protein
WP_022582992.1	10	hypothetical protein
WP_001316850.1	10	hypothetical protein
WP_029593659.1	10	hypothetical protein
WP_285160093.1	10	hypothetical protein
WP_176518995.1	10	hypothetical protein
WP_285160097.1	10	hypothetical protein
WP_208336347.1	10	hypothetical protein
WP_239820632.1	10	hypothetical protein
WP_114233293.1	10	hypothetical protein
WP_003857991.1	10	hypothetical protein
WP_003158944.1	10	hypothetical protein
WP_014602937.1	10	hypothetical protein
WP_350745878.1	10	hypothetical protein
WP_133960015.1	10	hypothetical protein
WP_199961115.1	9	GyrI-like domain-containing protein
WP_039503033.1	9	D-amino-acid transaminase
WP_157832387.1	9	replication initiation factor domain-containing protein
WP_253836730.1	9	creatininase family protein
WP_003858848.1	9	acetolactate decarboxylase
Unknown	9	DUF1016 N-terminal domain-containing protein
WP_159522956.1	9	TetR family transcriptional regulator
WP_084925265.1	9	rhodanese-like domain-containing protein
WP_131640791.1	9	glutathione S-transferase
WP_100156626.1	9	metalloprotease TldD
WP_223490580.1	9	signal peptidase I
WP_025168823.1	9	methylenetetrahydrofolate reductase [NAD(P)H]
WP_172437041.1	9	magnesium transporter
WP_168248657.1	9	XTP/dITP diphosphatase
WP_158150031.1	9	acyl-CoA thioesterase
WP_001212982.1	9	hydrogenase formation protein HypD
WP_014539290.1	9	protein deglycase YajL
WP_012668892.1	9	IS481-like element ISErsp1 family transposase
WP_182428463.1	9	YfhO family protein
WP_018579545.1	9	Mov34/MPN/PAD-1 family protein
WP_278011797.1	9	Gfo/Idh/MocA family oxidoreductase
WP_117156365.1	9	zinc-ribbon domain-containing protein
Unknown	9	ArdC-like ssDNA-binding domain-containing protein
WP_007971577.1	9	YciI family protein
WP_375728688.1	9	T9SS type A sorting domain-containing protein
WP_265504463.1	9	putative immunoglobulin-blocking virulence protein
WP_037406911.1	9	assimilatory sulfite reductase (NADPH) flavoprotein subunit
WP_004314651.1	9	BREX-1 system adenine-specific DNA-methyltransferase PglX
WP_390097276.1	9	cysteine peptidase family C39 domain-containing protein
WP_003111160.1	9	undecaprenyl-phosphate glucose phosphotransferase
WP_016323768.1	9	peptidylprolyl isomerase
Unknown	9	DUF4913 domain-containing protein
WP_105297294.1	9	signal recognition particle-docking protein FtsY
WP_260688291.1	9	substrate-binding domain-containing protein
WP_275360098.1	9	type VI secretion system baseplate subunit TssF
WP_352460387.1	9	P-type conjugative transfer ATPase TrbB
WP_200254001.1	9	flavin reductase family protein
WP_268618003.1	9	multidrug effflux MFS transporter
Unknown	9	helicase HerA domain-containing protein
WP_061318219.1	9	DUF1659 domain-containing protein
WP_346352366.1	9	SNF2-related protein
WP_118039452.1	9	tRNA dihydrouridine synthase
WP_131910816.1	9	DUF4133 domain-containing protein
WP_131910815.1	9	DUF4134 domain-containing protein
Unknown	9	ISKra4 family transposase
WP_154240661.1	9	DUF349 domain-containing protein
WP_043864749.1	9	glutamine amidotransferase
WP_023111149.1	9	Druantia anti-phage system protein DruA
WP_005782708.1	9	DUF805 domain-containing protein
WP_090921202.1	9	GTPase Era
WP_173275495.1	9	sucrose-specific PTS transporter subunit IIBC
Unknown	9	allantoin racemase
WP_339484388.1	9	RelA/SpoT domain-containing protein
WP_154240657.1	9	NCS2 family permease
WP_013452392.1	9	DUF3883 domain-containing protein
WP_413817176.1	9	topoisomerase DNA-binding C4 zinc finger domain-containing protein
WP_173718114.1	9	TIGR04100 family radical SAM protein
WP_005724378.1	9	ribosome-associated heat shock protein Hsp15
WP_005724374.1	9	GMP/IMP nucleotidase
WP_005718226.1	9	ADP compounds hydrolase NudE
WP_015690966.1	9	4-hydroxy-2-oxoheptanedioate aldolase
WP_064965349.1	9	Bcr/CflA family multidrug efflux MFS transporter
WP_005735607.1	9	5-carboxymethyl-2-hydroxymuconate Delta-isomerase
WP_244499054.1	9	serine hydroxymethyltransferase
WP_004313010.1	9	argininosuccinate lyase
WP_023702788.1	9	DOPA 4%2C5-dioxygenase family protein
WP_000016389.1	9	ECs1072 family phage-associated protein
Unknown	9	Ti-type conjugative transfer relaxase TraA
WP_018579537.1	9	lantibiotic immunity ABC transporter MutG family permease subunit
XP_067236751.1	9	uncharacterized protein
WP_229271075.1	9	exonuclease SbcCD subunit D
WP_172431747.1	9	plasmid replication protein RepC
WP_008470932.1	9	dTDP-glucose 4%2C6-dehydratase
WP_350754535.1	9	GTPase domain-containing protein
WP_073521303.1	9	molecular chaperone GroEL
WP_003132352.1	9	50S ribosomal protein L20
WP_130241293.1	9	aminomethyl-transferring glycine dehydrogenase
WP_238140156.1	9	TipAS antibiotic-recognition domain-containing protein
WP_059333900.1	9	sce7726 family protein
WP_153986409.1	9	tyrosine recombinase XerS
WP_005032116.1	9	choline BCCT transporter BetT
Unknown	9	PAS domain-containing protein
WP_136498809.1	9	hypothetical protein
WP_241689015.1	9	hypothetical protein
WP_003089210.1	9	hypothetical protein
WP_159060630.1	9	hypothetical protein
WP_154211760.1	9	hypothetical protein
WP_057383446.1	9	hypothetical protein
WP_045596594.1	9	hypothetical protein
WP_045596597.1	9	hypothetical protein
WP_023119197.1	9	hypothetical protein
WP_004999044.1	9	hypothetical protein
WP_200984579.1	9	hypothetical protein
WP_260776881.1	9	hypothetical protein
WP_023084690.1	9	hypothetical protein
WP_373426346.1	9	hypothetical protein
WP_001568017.1	9	hypothetical protein
WP_023340902.1	9	hypothetical protein
WP_017896554.1	9	hypothetical protein
WP_053059919.1	9	hypothetical protein
WP_023317791.1	9	hypothetical protein
WP_057064680.1	9	hypothetical protein
WP_014853457.1	9	hypothetical protein
WP_252703957.1	9	hypothetical protein
WP_252703956.1	9	hypothetical protein
WP_254913144.1	9	hypothetical protein
WP_089674784.1	9	hypothetical protein
WP_226968581.1	9	hypothetical protein
WP_023332841.1	9	hypothetical protein
WP_001357427.1	9	hypothetical protein
WP_110198792.1	9	hypothetical protein
WP_143779240.1	9	hypothetical protein
WP_125920305.1	9	hypothetical protein
WP_047747546.1	9	hypothetical protein
WP_032453751.1	9	hypothetical protein
WP_318330533.1	9	hypothetical protein
WP_310573699.1	9	hypothetical protein
WP_422662171.1	9	hypothetical protein
WP_049308209.1	9	hypothetical protein
WP_028120407.1	9	hypothetical protein
WP_002294820.1	9	hypothetical protein
WP_004240318.1	9	hypothetical protein
WP_045081927.1	9	hypothetical protein
WP_024224214.1	9	hypothetical protein
WP_010825032.1	9	hypothetical protein
WP_116197921.1	9	hypothetical protein
WP_265586445.1	9	hypothetical protein
WP_193992397.1	9	hypothetical protein
WP_219274537.1	9	hypothetical protein
WP_022582994.1	9	hypothetical protein
WP_015532701.1	9	hypothetical protein
WP_027663105.1	9	hypothetical protein
WP_027663104.1	9	hypothetical protein
WP_208337910.1	9	hypothetical protein
WP_033645656.1	9	hypothetical protein
WP_046880200.1	9	hypothetical protein
WP_285160095.1	9	hypothetical protein
WP_148332404.1	9	hypothetical protein
WP_006285365.1	9	hypothetical protein
WP_318817174.1	9	hypothetical protein
WP_000605255.1	9	hypothetical protein
WP_039503035.1	8	DUF3772 domain-containing protein
WP_111080167.1	8	cytochrome P450
WP_064378319.1	8	urocanate hydratase
WP_014228088.1	8	glutamate-5-semialdehyde dehydrogenase
WP_140204582.1	8	sugar nucleotide-binding protein
WP_034367515.1	8	DUF488 domain-containing protein
WP_016446001.1	8	3-hydroxyisobutyrate dehydrogenase
WP_244451666.1	8	tryptophan synthase subunit beta
Unknown	8	glyoxalase superfamily protein
WP_013072833.1	8	DUF6904 family protein
WP_218487427.1	8	uracil phosphoribosyltransferase
WP_301417778.1	8	TIGR04255 family protein
WP_180562370.1	8	FaeA/PapI family transcriptional regulator
WP_010373838.1	8	GTP pyrophosphokinase family protein
WP_015653846.1	8	Rrf2 family transcriptional regulator
WP_085603117.1	8	type II secretion system minor pseudopilin GspI
WP_074690234.1	8	type II secretion system protein N
WP_074690232.1	8	type II secretion system minor pseudopilin GspH
WP_039773261.1	8	prepilin-type N-terminal cleavage/methylation domain-containing protein
WP_001301332.1	8	formate hydrogenlyase transcriptional activator FlhA
WP_329953163.1	8	DUF6602 domain-containing protein
Unknown	8	Na+/H+ antiporter NhaA
WP_133471589.1	8	PilZ domain-containing protein
WP_138212397.1	8	sensor domain-containing diguanylate cyclase
WP_294548365.1	8	conjugal transfer protein MobC
WP_253280686.1	8	HipA domain-containing protein
WP_003117867.1	8	phosphonate ABC transporter ATP-binding protein
WP_003298907.1	8	phosphonate ABC transporter%2C permease protein PhnE
WP_023674365.1	8	sugar ABC transporter permease
WP_139715506.1	8	S24 family peptidase
WP_034501725.1	8	WhiB family transcriptional regulator
Unknown	8	DNA polymerase beta superfamily protein
WP_001015721.1	8	NIS family aerobactin synthetase IucC
Unknown	8	NADPH-dependent L-lysine N(6)-monooxygenase IucD
WP_000973519.1	8	ferric aerobactin receptor IutA
WP_026936755.1	8	3-isopropylmalate dehydratase small subunit
WP_026936756.1	8	3-isopropylmalate dehydratase large subunit
Unknown	8	NADPH-dependent oxidoreductase
Unknown	8	elongation factor Tu
WP_037406906.1	8	30S ribosomal protein S10
WP_012037794.1	8	glutamate--tRNA ligase
Unknown	8	SAP domain-containing protein
WP_249263460.1	8	DUF305 domain-containing protein
WP_229271074.1	8	GH25 family lysozyme
WP_195583191.1	8	competence protein CoiA family protein
WP_037423742.1	8	two-component system response regulator OmpR
WP_131525521.1	8	two-component system sensor histidine kinase EnvZ
WP_005411880.1	8	Ax21 family protein
WP_054893429.1	8	MazG nucleotide pyrophosphohydrolase domain-containing protein
WP_180793365.1	8	di-heme oxidoredictase family protein
WP_016663680.1	8	isochorismatase family protein
WP_286809904.1	8	adenosylcobalamin-dependent ribonucleoside-diphosphate reductase
Unknown	8	SAM-dependent methyltransferase
WP_001323889.1	8	PAS domain-containing methyl-accepting chemotaxis protein
WP_181575950.1	8	IS21-like element IS21 family transposase
WP_007744984.1	8	primase C-terminal domain-containing protein
WP_013447917.1	8	MAG1210 family protein
WP_200254005.1	8	type IIL restriction-modification enzyme MmeI
WP_144860426.1	8	DUF3024 domain-containing protein
Unknown	8	DNA polymerase V subunit UmuC
WP_265493725.1	8	ABC-three component system middle component 6
WP_265493723.1	8	DUF2326 domain-containing protein
WP_173088353.1	8	slipin family protein
WP_040785013.1	8	PHP domain-containing protein
WP_023045235.1	8	toxic anion resistance protein
WP_188678842.1	8	DUF736 family protein
WP_139887763.1	8	MDR family oxidoreductase
WP_147037817.1	8	SIMPL domain-containing protein
WP_213622498.1	8	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
WP_118049909.1	8	DUF6017 domain-containing protein
WP_139344658.1	8	NF045616 family extracytoplasmic (lipo)protein
WP_242648052.1	8	type I restriction endonuclease
WP_024591888.1	8	sulfotransferase
WP_240645051.1	8	plastocyanin/azurin family copper-binding protein
WP_244451668.1	8	DUF1800 domain-containing protein
WP_000027057.1	8	broad-spectrum class A beta-lactamase TEM-1
WP_077856669.1	8	zinc ribbon-containing protein
Unknown	8	sugar phosphate nucleotidyltransferase
WP_165430735.1	8	NO-inducible flavohemoprotein
WP_127385347.1	8	ATP phosphoribosyltransferase regulatory subunit
Unknown	8	IS21-like element IS100kyp family helper ATPase IstB
WP_288855196.1	8	aldose 1-epimerase family protein
WP_332560847.1	8	DUF559 domain-containing protein
WP_331844480.1	8	phosphotransferase
WP_248120315.1	8	DUF1328 domain-containing protein
WP_168340420.1	8	DUF429 domain-containing protein
WP_001186725.1	8	DNA repair protein RadC
Unknown	8	YifB family Mg chelatase-like AAA ATPase
WP_006258620.1	8	2%2C3-butanediol dehydrogenase
WP_060549963.1	8	dTMP kinase
WP_005897542.1	8	thiamine phosphate synthase
WP_074390292.1	8	GNAT family protein
WP_223331228.1	8	sugar O-acetyltransferase
WP_148275234.1	8	TnsD family Tn7-like transposition protein
WP_274720581.1	8	immunity 22 family protein
WP_001357424.1	8	protein kinase
WP_352460386.1	8	type 2 lanthipeptide synthetase LanM
WP_409418698.1	8	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
Unknown	8	endonuclease domain-containing protein
WP_173877381.1	8	DUF6870 family protein
WP_295893119.1	8	EcsC family protein
WP_117981184.1	8	PcfJ domain-containing protein
WP_115880455.1	8	Dabb family protein
WP_304309809.1	8	glycoside hydrolase family 26 protein
WP_173877155.1	8	DUF4313 domain-containing protein
WP_033522216.1	8	nucleotide exchange factor GrpE
WP_033522165.1	8	molecular chaperone DnaK
WP_395762061.1	8	S41 family peptidase
WP_009568434.1	8	ABC-2 transporter permease
WP_308450873.1	8	restriction endonuclease subunit M
WP_064994667.1	8	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
WP_048971302.1	8	cell envelope integrity TolA C-terminal domain-containing protein
WP_118400873.1	8	DNA modification system-associated small protein
WP_170895490.1	8	glutathione-disulfide reductase
WP_100141067.1	8	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
WP_105297293.1	8	DUF4295 domain-containing protein
WP_133057278.1	8	IS630 transposase-related protein
WP_023307514.1	8	hypothetical protein
WP_227666617.1	8	hypothetical protein
WP_034367409.1	8	hypothetical protein
WP_001350003.1	8	hypothetical protein
WP_024781873.1	8	hypothetical protein
WP_076741118.1	8	hypothetical protein
WP_074690241.1	8	hypothetical protein
WP_134333647.1	8	hypothetical protein
WP_271342745.1	8	hypothetical protein
WP_271342746.1	8	hypothetical protein
WP_347000139.1	8	hypothetical protein
WP_275103434.1	8	hypothetical protein
WP_256262877.1	8	hypothetical protein
WP_243053487.1	8	hypothetical protein
WP_040224226.1	8	hypothetical protein
WP_334198866.1	8	hypothetical protein
WP_237023563.1	8	hypothetical protein
WP_052007430.1	8	hypothetical protein
WP_236941985.1	8	hypothetical protein
WP_278481001.1	8	hypothetical protein
WP_332370516.1	8	hypothetical protein
WP_369094822.1	8	hypothetical protein
WP_324248966.1	8	hypothetical protein
WP_248784181.1	8	hypothetical protein
WP_000957857.1	8	hypothetical protein
WP_223246854.1	8	hypothetical protein
WP_324249608.1	8	hypothetical protein
WP_195521776.1	8	hypothetical protein
WP_195521778.1	8	hypothetical protein
WP_195521780.1	8	hypothetical protein
WP_195521782.1	8	hypothetical protein
WP_055174947.1	8	hypothetical protein
WP_002384921.1	8	hypothetical protein
WP_243704096.1	8	hypothetical protein
WP_311794407.1	8	hypothetical protein
WP_049127682.1	8	hypothetical protein
WP_080086255.1	8	hypothetical protein
WP_332560841.1	8	hypothetical protein
WP_332560843.1	8	hypothetical protein
WP_332560845.1	8	hypothetical protein
WP_332560846.1	8	hypothetical protein
WP_332560849.1	8	hypothetical protein
WP_228730065.1	8	hypothetical protein
WP_057097643.1	8	hypothetical protein
WP_277780669.1	8	hypothetical protein
WP_064690930.1	8	hypothetical protein
WP_110198793.1	8	hypothetical protein
WP_028697360.1	8	hypothetical protein
WP_170835779.1	8	hypothetical protein
WP_226342214.1	8	hypothetical protein
WP_269485194.1	8	hypothetical protein
WP_269485195.1	8	hypothetical protein
WP_269490028.1	8	hypothetical protein
WP_269485197.1	8	hypothetical protein
WP_173877157.1	8	hypothetical protein
WP_173877153.1	8	hypothetical protein
WP_173877152.1	8	hypothetical protein
WP_004867149.1	8	hypothetical protein
WP_308957103.1	8	hypothetical protein
WP_260140424.1	8	hypothetical protein
WP_260140422.1	8	hypothetical protein
WP_260140420.1	8	hypothetical protein
WP_260140414.1	8	hypothetical protein
WP_121378419.1	8	hypothetical protein
WP_238580652.1	8	hypothetical protein
WP_045081926.1	8	hypothetical protein
WP_179297313.1	8	hypothetical protein
WP_019281271.1	8	hypothetical protein
WP_256359489.1	8	hypothetical protein
WP_228380910.1	8	hypothetical protein
WP_029593704.1	8	hypothetical protein
WP_208337908.1	8	hypothetical protein
WP_279592299.1	8	hypothetical protein
WP_208337909.1	8	hypothetical protein
WP_021559847.1	8	hypothetical protein
WP_011254646.1	8	hypothetical protein
WP_045330532.1	8	hypothetical protein
WP_173718119.1	8	hypothetical protein
WP_138298303.1	8	hypothetical protein
WP_271717196.1	8	hypothetical protein
WP_138296714.1	8	hypothetical protein
WP_032532923.1	8	hypothetical protein
WP_004607998.1	8	hypothetical protein
WP_004607995.1	8	hypothetical protein
WP_258078209.1	8	hypothetical protein
WP_368120716.1	8	hypothetical protein
WP_029174596.1	8	hypothetical protein
WP_044308233.1	8	hypothetical protein
WP_235389245.1	8	hypothetical protein
WP_044308066.1	8	hypothetical protein
WP_135185838.1	8	hypothetical protein
WP_112942558.1	7	autoinducer binding domain-containing protein
WP_032858316.1	7	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
WP_045908562.1	7	DUF7661 family protein
Unknown	7	putative zinc ribbon protein
WP_188044555.1	7	helicase C-terminal domain-containing protein
WP_101855670.1	7	antibiotic biosynthesis monooxygenase family protein
WP_065277221.1	7	DUF418 domain-containing protein
WP_055854148.1	7	DNA polymerase III subunit alpha
WP_003450282.1	7	ferritin family protein
WP_224743781.1	7	EpsG family protein
WP_185489024.1	7	C39 family peptidase
WP_295893115.1	7	YhgE/Pip domain-containing protein
Unknown	7	Arm DNA-binding domain-containing protein
WP_256543289.1	7	DUF1800 family protein
WP_301718960.1	7	cytosine permease
WP_258080004.1	7	DUF905 domain-containing protein
WP_043561521.1	7	SCO family protein
WP_235716843.1	7	SRPBCC domain-containing protein
WP_222367260.1	7	glucose-6-phosphate isomerase
WP_063440685.1	7	YbdK family carboxylate-amine ligase
Unknown	7	S-adenosylmethionine synthetase N-terminal domain-containing protein
WP_053472891.1	7	transporter
WP_053472881.1	7	RIP metalloprotease RseP
WP_003062535.1	7	type IV conjugative transfer system coupling protein TraD
WP_399284346.1	7	DUF6998 domain-containing protein
WP_275542237.1	7	inorganic diphosphatase
WP_074690230.1	7	FecR family protein
WP_001059922.1	7	hydrogenase maturation carbamoyl dehydratase HypE
Unknown	7	trypsin-like peptidase domain-containing protein
WP_193992407.1	7	holin family protein
WP_071645253.1	7	DUF2268 domain-containing putative Zn-dependent protease
WP_061385557.1	7	AcrIIA4 family anti-CRISPR protein
WP_308706058.1	7	Lsr2 family protein
WP_172017322.1	7	NADPH-dependent FMN reductase
WP_039514053.1	7	metal/formaldehyde-sensitive transcriptional repressor
WP_162301110.1	7	ferredoxin--NADP reductase
WP_117813226.1	7	AEC family transporter
WP_239638424.1	7	glycoside hydrolase family 2 TIM barrel-domain containing protein
WP_077599556.1	7	CBS domain-containing protein
WP_152647979.1	7	DUF4190 domain-containing protein
WP_101705294.1	7	PTS glucitol/sorbitol transporter subunit IIA
WP_080865955.1	7	type I secretion system permease/ATPase
WP_090921200.1	7	ribonuclease III
WP_168256109.1	7	OBAP family protein
WP_066535820.1	7	M15 family metallopeptidase
WP_105151862.1	7	PEP phosphonomutase
WP_375728686.1	7	FISUMP domain-containing protein
WP_034135248.1	7	FecR domain-containing protein
WP_046151580.1	7	BREX-1 system phosphatase PglZ type A
WP_046151581.1	7	protease Lon-related BREX system protein BrxL
WP_221125506.1	7	endonuclease/exonuclease/phosphatase family protein
WP_263209017.1	7	DUF5666 domain-containing protein
WP_005192582.1	7	TraI domain-containing protein
WP_112920615.1	7	IS3-like element IS3 family transposase
Unknown	7	globin domain-containing protein
WP_084036437.1	7	ribokinase
WP_001217836.1	7	plasmid segregation protein ParM domain-containing protein
WP_071955187.1	7	immunity protein Tsi6 family protein
WP_063703431.1	7	PQQ-dependent sugar dehydrogenase
WP_237927795.1	7	DUF1998 domain-containing protein
WP_101188959.1	7	DNA polymerase III subunit beta
WP_140037083.1	7	carbon-nitrogen hydrolase family protein
WP_277693228.1	7	MGH1-like glycoside hydrolase domain-containing protein
WP_415337940.1	7	ParB N-terminal domain-containing protein
WP_055114469.1	7	NB-ARC domain-containing protein
WP_067393945.1	7	type I pantothenate kinase
WP_274253811.1	7	DUF4132 domain-containing protein
WP_058185267.1	7	DUF5447 family protein
WP_117981180.1	7	DUF3872 domain-containing protein
Unknown	7	glycoside hydrolase family protein
WP_047572882.1	7	5'-nucleotidase
