psi_protein,neighbour_protein,percent_identity,genome_id,neighbour_domains,psi_domains
WP_097573889.1,WP_157898034.1,30.488,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_069610758.1,WP_039541967.1,29.134,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_080364176.1,WP_219042728.1,38.409,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; Pribosyltran; PRK02277.1
WP_080364176.1,WP_206079065.1,35.953,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; Pribosyltran; PRK02277.1
WP_132464573.1,WP_194473083.1,39.216,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_132464573.1,WP_128320334.1,35.897,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_323087299.1,WP_157898034.1,33.333,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_127637601.1,WP_157898034.1,26.455,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_222396280.1,WP_219042728.1,33.733,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_146231200.1,WP_128320334.1,39.706,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_248807243.1,WP_219042728.1,28.45,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_248807243.1,WP_206079065.1,29.173,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_294117357.1,WP_157898034.1,38.356,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_095149087.1,WP_219042728.1,37.832,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; Pribosyltran
WP_095149087.1,WP_206079065.1,33.697,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; Pribosyltran
WP_228274323.1,WP_000884830.1,36.667,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_401481925.1,WP_128320334.1,39.062,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_360194001.1,WP_128320334.1,33.75,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_360194001.1,WP_157898034.1,26.923,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_079443323.1,WP_157898034.1,29.286,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_079443323.1,WP_128320334.1,37.313,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_220758477.1,WP_157898034.1,35.87,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_138578941.1,WP_157898034.1,38.983,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_363543959.1,WP_157898034.1,32.979,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_251091298.1,WP_157898034.1,22.927,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_223496968.1,WP_157898034.1,26.667,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_223496968.1,WP_128320334.1,37.5,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_223496968.1,WP_244212823.1,33.684,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_293680444.1,WP_157898034.1,38.356,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_152229031.1,WP_157898034.1,32.609,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_201018177.1,WP_157898034.1,27.143,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_201018177.1,WP_128320334.1,37.705,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_363390930.1,WP_157898034.1,32.979,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_369934505.1,WP_039541967.1,31.008,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_156376836.1,WP_157898034.1,31.746,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_066438549.1,WP_219042728.1,32.258,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_066438549.1,WP_206079065.1,29.273,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_156396511.1,WP_244212823.1,38.028,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE; PRTase-CE
WP_101283320.1,WP_157898034.1,34.615,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_332768927.1,WP_194473083.1,34.328,NZ_CP030037.1,PRTase-CE,PRTase-CE; PRTase-CE
WP_196360690.1,WP_157898034.1,39.062,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_408395210.1,WP_219042728.1,37.745,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_129551480.1,WP_219042728.1,33.172,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_193863121.1,WP_128320334.1,37.705,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_146537664.1,WP_157898034.1,30.978,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_381737477.1,WP_128320334.1,39.344,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_139220744.1,WP_039541967.1,37.179,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_123891458.1,WP_157898034.1,39.437,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_404594884.1,WP_157898034.1,27.66,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_154859919.1,WP_128320334.1,33.846,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_154859919.1,WP_157898034.1,27.717,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_154859919.1,WP_194473083.1,34.043,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_212431493.1,WP_219042728.1,27.223,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_212431493.1,WP_206079065.1,25.117,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_180157507.1,WP_157898034.1,23.858,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_180157507.1,WP_194473083.1,40.0,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_180802931.1,WP_157898034.1,35.821,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_027595096.1,WP_157898034.1,36.111,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_305802989.1,WP_128320334.1,30.108,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_047734726.1,WP_157898034.1,25.616,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_314917625.1,WP_157898034.1,35.897,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_219744833.1,WP_194473083.1,30.769,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_197803529.1,WP_157898034.1,33.613,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_197112913.1,WP_157898034.1,33.708,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_387771900.1,WP_219042728.1,22.645,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_387771900.1,WP_206079065.1,24.34,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_051429309.1,WP_025217672.1,32.203,NZ_CP006943.1,PRTase-CE,PRTase-CE
WP_051429309.1,WP_128320334.1,36.986,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_158818134.1,WP_157898034.1,37.037,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_049732990.1,WP_000884830.1,27.0,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_155637593.1,WP_244212823.1,36.364,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_155637593.1,WP_194473083.1,29.592,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_221989375.1,WP_219042728.1,35.767,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_370136726.1,WP_219042728.1,27.405,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_370136726.1,WP_206079065.1,25.387,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_290209903.1,WP_157898034.1,27.679,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_233968158.1,WP_157898034.1,25.714,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_406642694.1,WP_128320334.1,33.333,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_406642694.1,WP_194473083.1,33.333,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_136974983.1,WP_157898034.1,39.062,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_320740716.1,WP_128320334.1,36.066,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_204100841.1,WP_157898034.1,32.432,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_305801940.1,WP_157898034.1,38.356,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_156462705.1,WP_194473083.1,40.0,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_156462705.1,WP_157898034.1,26.776,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_267109834.1,WP_157898034.1,24.121,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_267109834.1,WP_194473083.1,31.522,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_267109834.1,WP_244212823.1,36.047,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_355373384.1,WP_128320334.1,39.706,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_038944610.1,WP_219042728.1,24.063,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_038944610.1,WP_206079065.1,24.303,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_038944610.1,WP_101283316.1,21.262,NZ_CP061079.1,AAA_16; AAA_22; ATPase_2; AAA; nSTAND1; DUF815; NB-ARC; DEAD; nSTAND3; TIGR02928; DnaA_homol_Hda; DnaA_homol_Hda; F430_CfbC,PRTase-CE
WP_277570756.1,WP_128320334.1,35.065,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_007989165.1,WP_244212823.1,36.735,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_181551725.1,WP_039541967.1,33.588,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_058697634.1,WP_000884830.1,34.513,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_292503743.1,WP_194473083.1,39.0,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_292503743.1,WP_128320334.1,32.877,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_204060601.1,WP_128320334.1,38.889,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_109393720.1,WP_157898034.1,24.528,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_349914368.1,WP_157898034.1,35.0,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_003830139.1,WP_219042728.1,38.993,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_003830139.1,WP_206079065.1,35.942,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_082638314.1,WP_206079065.1,29.339,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; PRK07199.1
WP_082638314.1,WP_219042728.1,31.04,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; PRK07199.1
WP_253679523.1,WP_128320334.1,37.313,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_138085955.1,WP_039541967.1,29.771,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_156420507.1,WP_128320334.1,37.705,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_156420507.1,WP_157898034.1,22.5,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_097441136.1,WP_039541967.1,32.692,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_152033795.1,WP_128320334.1,38.571,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_315160310.1,WP_194473083.1,37.143,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_315160310.1,WP_157898034.1,27.857,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_273627664.1,WP_000884830.1,31.858,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_139814606.1,WP_157898034.1,33.333,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_153459204.1,WP_157898034.1,32.0,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_336942539.1,WP_060382056.1,21.902,NZ_JALDSR010000006.1,PRTase-CE,PRTase-CE
WP_403683703.1,WP_194473083.1,35.714,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_275221700.1,WP_219042728.1,37.386,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; Pribosyltran
WP_275221700.1,WP_206079065.1,34.341,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; Pribosyltran
WP_041946960.1,WP_157898034.1,39.062,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_020904095.1,WP_157898034.1,35.821,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_259265812.1,WP_219042728.1,25.751,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_259265812.1,WP_206079065.1,24.531,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_229510212.1,WP_157898034.1,26.891,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_214625695.1,WP_157898034.1,23.602,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_214625695.1,WP_128320334.1,31.818,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_224625881.1,WP_128320334.1,35.802,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_290611705.1,WP_157898034.1,38.462,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_287204545.1,WP_219042728.1,32.756,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_261637962.1,WP_157898034.1,33.803,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_114049382.1,WP_157898034.1,30.108,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_327012614.1,WP_206079065.1,25.152,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_327012614.1,WP_219042728.1,25.866,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_114073665.1,WP_157898034.1,28.571,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_347745540.1,WP_060382056.1,21.333,NZ_JALDSR010000006.1,PRTase-CE,PRTase-CE
WP_167787016.1,WP_000663275.1,36.842,NZ_NDOY01000267.1,PRTase-CE,PRTase-CE
WP_083181227.1,WP_219042728.1,37.931,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_083181227.1,WP_206079065.1,34.247,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_371714767.1,WP_157898034.1,30.978,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_255162979.1,WP_157898034.1,31.868,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_106282856.1,WP_000884830.1,26.316,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_293365657.1,WP_219042728.1,30.536,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_293365657.1,WP_206079065.1,31.473,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_198108040.1,WP_157898034.1,21.739,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_198108040.1,WP_194473083.1,30.337,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_198108040.1,WP_128320334.1,30.0,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_222321524.1,WP_194473083.1,36.19,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_222321524.1,WP_157898034.1,23.404,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_159442626.1,WP_244212823.1,39.394,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_159442626.1,WP_157898034.1,38.235,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_003581620.1,WP_000884830.1,27.0,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_264429564.1,WP_157898034.1,21.809,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE; PRTase-CE
WP_264429564.1,WP_128320334.1,30.952,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE; PRTase-CE
WP_320041922.1,WP_219042728.1,31.863,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_320041922.1,WP_206079065.1,25.82,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_408474737.1,WP_000884830.1,38.053,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_016771168.1,WP_157898034.1,36.709,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_313437039.1,WP_157898034.1,29.0,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_313437039.1,WP_128320334.1,31.633,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_144113003.1,WP_039541967.1,28.358,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_313752515.1,WP_157898034.1,31.707,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_248916470.1,WP_157898034.1,36.709,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_173069745.1,WP_128320334.1,37.143,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_043039447.1,WP_000663275.1,37.594,NZ_NDOY01000267.1,PRTase-CE,PRTase-CE; ResIII
WP_272644272.1,WP_157898034.1,32.432,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_099756766.1,WP_000884830.1,38.793,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_143271688.1,WP_219042728.1,33.605,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_403231022.1,WP_194473083.1,34.286,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_392767058.1,WP_194473083.1,33.333,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_392767058.1,WP_128320334.1,37.879,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_336372876.1,WP_000663275.1,36.842,NZ_NDOY01000267.1,PRTase-CE,PRTase-CE
WP_236529339.1,WP_128320334.1,35.443,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_157903130.1,WP_000884830.1,33.333,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_394293822.1,WP_157898034.1,34.328,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_187503585.1,WP_157898034.1,21.256,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_187503585.1,WP_128320334.1,32.895,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_320531028.1,WP_244212823.1,35.238,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_263141036.1,WP_157898034.1,35.359,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_256665244.1,WP_157898034.1,30.233,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_338476248.1,WP_039541967.1,31.757,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_180791973.1,WP_128320334.1,37.705,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_024590866.1,WP_219042728.1,34.188,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_024590866.1,WP_206079065.1,36.819,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_209568789.1,WP_157898034.1,23.077,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_209568789.1,WP_128320334.1,29.87,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_035360935.1,WP_060382056.1,36.364,NZ_JALDSR010000006.1,PRTase-CE,PRTase-CE
WP_183336790.1,WP_157898034.1,34.94,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_066591793.1,WP_194473083.1,35.227,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_066591793.1,WP_128320334.1,38.983,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_066591793.1,WP_157898034.1,28.421,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_239362757.1,WP_157898034.1,31.933,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_157737186.1,WP_157898034.1,35.326,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_234405263.1,WP_157898034.1,28.906,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_139051772.1,WP_039541967.1,29.71,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_127125071.1,WP_039541967.1,30.612,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_346244549.1,WP_039541967.1,31.373,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_139431809.1,WP_157898034.1,25.346,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_226310332.1,WP_128320334.1,34.426,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_269197128.1,WP_039541967.1,32.812,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
WP_392628476.1,WP_194473083.1,35.714,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_076538359.1,WP_157898034.1,34.254,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE; Pribosyltran
WP_350154229.1,WP_244212823.1,39.286,NZ_PHNR01000107.1,PRTase-CE,PRTase-CE
WP_112411187.1,WP_157898034.1,32.5,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_175909184.1,WP_128320334.1,30.0,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_175909184.1,WP_157898034.1,21.739,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_175909184.1,WP_194473083.1,31.461,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_004407550.1,WP_219042728.1,37.627,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE; Pribosyltran
WP_004407550.1,WP_206079065.1,35.345,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE; Pribosyltran
WP_307502093.1,WP_157898034.1,23.858,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_307502093.1,WP_128320334.1,37.736,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_347183987.1,WP_157898034.1,23.295,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_121582544.1,WP_194473083.1,36.19,NZ_CP030037.1,PRTase-CE,PRTase-CE
WP_121582544.1,WP_157898034.1,23.923,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_315247091.1,WP_000884830.1,34.821,NZ_VHFZ01000049.1,PRTase-CE,PRTase-CE
WP_143487496.1,WP_157898034.1,33.333,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_367237400.1,WP_219042728.1,39.257,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_367237400.1,WP_206079065.1,36.103,NZ_JAAKZF010000048.1,PRTase-CE; ATPase_2; TniB,PRTase-CE
WP_407199705.1,WP_157898034.1,33.333,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_183436539.1,WP_219042728.1,37.959,NZ_JAHWDQ010000001.1,PRTase-CE; AAA_22; ATPase_2; AAA_16; TniB; TniB,PRTase-CE
WP_037004730.1,WP_128320334.1,38.028,NZ_JAUBKS010000068.1,PRTase-CE,PRTase-CE
WP_336125999.1,WP_157898034.1,32.979,NZ_NLGV01000095.1,PRTase-CE; wHTH-PRTase_assc,PRTase-CE
WP_372360183.1,WP_039541967.1,30.0,NZ_JWLJ01000008.1,PRTase-CE,PRTase-CE
